x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
9470.0986,9719.2197,33.7706,2.0051,18.0000,0,0,0,0,0
9469.6779,9720.1269,33.7711,2.0051,18.0000,0,0,0,0,0
9469.2571,9721.0341,33.7716,2.0051,18.0000,0,0,0,0,0
9468.8362,9721.9413,33.7722,2.0051,18.0000,0,0,0,0,0
9468.4154,9722.8485,33.7727,2.0052,18.0000,0,0,0,0,0
9467.9945,9723.7556,33.7733,2.0052,18.0000,0,0,0,0,0
9467.5736,9724.6628,33.7738,2.0052,18.0000,0,0,0,0,0
9467.1527,9725.5699,33.7744,2.0053,18.0000,0,0,0,0,0
9466.7317,9726.4770,33.7750,2.0054,18.0000,0,0,0,0,0
9466.3106,9727.3841,33.7756,2.0054,18.0000,0,0,0,0,0
9465.8895,9728.2911,33.7762,2.0055,18.0000,0,0,0,0,0
9465.4684,9729.1980,33.7769,2.0056,18.0000,0,0,0,0,0
9465.0471,9730.1049,33.7775,2.0057,18.0000,0,0,0,0,0
9464.6258,9731.0117,33.7782,2.0058,18.0000,0,0,0,0,0
9464.2044,9731.9185,33.7789,2.0059,18.0000,0,0,0,0,0
9463.7828,9732.8254,33.7797,2.0060,18.0000,0,0,0,0,0
9463.3610,9733.7322,33.7805,2.0062,18.0000,0,0,0,0,0
9462.9392,9734.6390,33.7813,2.0063,18.0000,0,0,0,0,0
9462.5172,9735.5457,33.7822,2.0065,18.0000,0,0,0,0,0
9462.0950,9736.4523,33.7831,2.0067,18.0000,0,0,0,0,0
9461.6727,9737.3589,33.7840,2.0068,18.0000,0,0,0,0,0
9461.2503,9738.2653,33.7850,2.0070,18.0000,0,0,0,0,0
9460.8276,9739.1717,33.7861,2.0072,18.0000,0,0,0,0,0
9460.4048,9740.0779,33.7872,2.0075,18.0000,0,0,0,0,0
9459.9817,9740.9841,33.7884,2.0077,18.0000,0,0,0,0,0
9459.5584,9741.8901,33.7896,2.0080,18.0000,0,0,0,0,0
9459.1349,9742.7960,33.7909,2.0083,18.0000,0,0,0,0,0
9458.7112,9743.7018,33.7923,2.0085,18.0000,0,0,0,0,0
9458.2871,9744.6074,33.7938,2.0089,18.0000,0,0,0,0,0
9457.8628,9745.5129,33.7953,2.0092,18.0000,0,0,0,0,0
9457.4382,9746.4181,33.7970,2.0096,18.0000,0,0,0,0,0
9457.0133,9747.3231,33.7987,2.0100,18.0000,0,0,0,0,0
9456.5881,9748.2279,33.8005,2.0104,18.0000,0,0,0,0,0
9456.1623,9749.1328,33.8025,2.0108,18.0000,0,0,0,0,0
9455.7359,9750.0379,33.8045,2.0113,18.0000,0,0,0,0,0
9455.3091,9750.9426,33.8067,2.0118,18.0000,0,0,0,0,0
9454.8817,9751.8474,33.8091,2.0124,18.0000,0,0,0,0,0
9454.4547,9752.7500,33.8116,2.0130,18.0000,0,0,0,0,0
9454.0241,9753.6587,33.8142,2.0137,18.0000,0,0,0,0,0
9453.6009,9754.5502,33.8170,2.0144,18.0000,0,0,0,0,0
9453.1744,9755.4469,33.8200,2.0151,18.0000,0,0,0,0,0
9452.7392,9756.3602,33.8233,2.0158,18.0000,0,0,0,0,0
9452.3048,9757.2704,33.8268,2.0164,18.0000,0,0,0,0,0
9451.8751,9758.1696,33.8304,2.0168,18.0000,0,0,0,0,0
9451.4437,9759.0714,33.8342,2.0171,18.0000,0,0,0,0,0
9451.0125,9759.9721,33.8382,2.0173,18.0000,0,0,0,0,0
9450.5808,9760.8738,33.8424,2.0173,18.0000,0,0,0,0,0
9450.1486,9761.7766,33.8468,2.0171,18.0000,0,0,0,0,0
9449.7169,9762.6791,33.8513,2.0167,18.0000,0,0,0,0,0
9449.2858,9763.5817,33.8561,2.0160,18.0000,0,0,0,0,0
9448.8556,9764.4844,33.8609,2.0151,18.0000,0,0,0,0,0
9448.4263,9765.3875,33.8659,2.0138,18.0000,0,0,0,0,0
9447.9983,9766.2911,33.8711,2.0122,18.0000,0,0,0,0,0
9447.5720,9767.1955,33.8763,2.0103,18.0000,0,0,0,0,0
9447.1475,9768.1006,33.8816,2.0080,18.0000,0,0,0,0,0
9446.7254,9769.0068,33.8869,2.0053,18.0000,0,0,0,0,0
9446.3060,9769.9142,33.8923,2.0021,18.0000,0,0,0,0,0
9445.8896,9770.8229,33.8976,1.9985,18.0000,0,0,0,0,0
9445.4767,9771.7333,33.9029,1.9944,18.0000,0,0,0,0,0
9445.0675,9772.6461,33.9081,1.9899,18.0000,0,0,0,0,0
9444.6627,9773.5607,33.9132,1.9849,18.0000,0,0,0,0,0
9444.2628,9774.4772,33.9182,1.9794,18.0000,0,0,0,0,0
9443.8680,9775.3963,33.9229,1.9735,18.0000,0,0,0,0,0
9443.4797,9776.3155,33.9274,1.9671,18.0000,0,0,0,0,0
9443.0948,9777.2442,33.9315,1.9604,18.0000,0,0,0,0,0
9442.7199,9778.1661,33.9354,1.9534,18.0000,0,0,0,0,0
9442.3512,9779.0919,33.9388,1.9465,18.0000,0,0,0,0,0
9441.9848,9780.0295,33.9420,1.9401,18.0000,0,0,0,0,0
9441.6280,9780.9605,33.9448,1.9340,18.0000,0,0,0,0,0
9441.2748,9781.8977,33.9473,1.9284,18.0000,0,0,0,0,0
9440.9273,9782.8352,33.9496,1.9233,18.0000,0,0,0,0,0
9440.5843,9783.7748,33.9517,1.9185,18.0000,0,0,0,0,0
9440.2457,9784.7158,33.9536,1.9141,18.0000,0,0,0,0,0
9439.9110,9785.6582,33.9554,1.9102,18.0000,0,0,0,0,0
9439.5799,9786.6017,33.9570,1.9066,18.0000,0,0,0,0,0
9439.2520,9787.5463,33.9585,1.9034,18.0000,0,0,0,0,0
9438.9270,9788.4918,33.9600,1.9007,18.0000,0,0,0,0,0
9438.6043,9789.4383,33.9615,1.8984,18.0000,0,0,0,0,0
9438.2835,9790.3856,33.9630,1.8965,18.0000,0,0,0,0,0
9437.9641,9791.3335,33.9646,1.8952,18.0000,0,0,0,0,0
9437.6456,9792.2821,33.9663,1.8946,18.0000,0,0,0,0,0
9437.3274,9793.2308,33.9682,1.8946,18.0000,0,0,0,0,0
9437.0087,9794.1798,33.9704,1.8955,18.0000,0,0,0,0,0
9436.6893,9795.1266,33.9730,1.8975,18.0000,0,0,0,0,0
9436.3659,9796.0767,33.9761,1.9008,18.0000,0,0,0,0,0
9436.0486,9796.9971,33.9797,1.9060,18.0000,0,0,0,0,0
9435.7164,9797.9412,33.9844,1.9120,18.0000,0,0,0,0,0
9435.3637,9798.9256,33.9902,1.9186,18.0000,0,0,0,0,0
9435.0262,9799.8450,33.9967,1.9260,18.0000,0,0,0,0,0
9434.6757,9800.7807,34.0044,1.9328,18.0000,0,0,0,0,0
9434.3193,9801.7117,34.0132,1.9396,18.0000,0,0,0,0,0
9433.9556,9802.6436,34.0230,1.9454,18.0000,0,0,0,1,0
9433.5868,9803.5746,34.0337,1.9492,18.0000,0,0,0,0,0
9433.2165,9804.5026,34.0448,1.9495,18.0000,0,0,0,0,0
9432.8458,9805.4368,34.0560,1.9451,18.0000,0,0,0,0,0
9432.4896,9806.3530,34.0662,1.9349,18.0000,0,0,0,0,0
9432.1388,9807.2920,34.0749,1.9215,18.0000,0,0,0,0,0
9431.7992,9808.2402,34.0819,1.9085,18.0000,0,0,0,0,0
9431.4733,9809.1873,34.0872,1.8968,18.0000,0,0,0,0,0
9431.1578,9810.1376,34.0910,1.8865,18.0000,0,0,0,0,0
9430.8519,9811.0899,34.0935,1.8773,18.0000,0,0,0,0,0
9430.5535,9812.0471,34.0947,1.8695,18.0000,0,0,0,0,0
9430.2649,9812.9964,34.0948,1.8629,18.0000,0,0,0,0,0
9429.9795,9813.9559,34.0937,1.8535,18.0000,0,0,0,0,0
9429.7067,9814.9179,34.0920,1.8339,18.0000,0,0,0,0,0
9429.4607,9815.8822,34.0905,1.8045,18.0000,0,0,0,0,0
9429.2477,9816.8460,34.0901,1.7723,18.0000,0,0,0,0,0
9429.0595,9817.8457,34.0913,1.7459,18.0000,0,0,0,0,0
9428.8954,9818.8373,34.0940,1.7265,18.0000,0,0,0,0,0
9428.7501,9819.8166,34.0978,1.7128,18.0000,0,0,0,0,0
9428.6134,9820.8092,34.1024,1.7036,18.0000,0,0,0,0,0
9428.4849,9821.8012,34.1075,1.6965,18.0000,0,0,0,0,0
9428.3624,9822.7953,34.1130,1.6908,18.0000,0,0,0,0,0
