x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
9330.5566,9946.3242,36.0991,0.9976,18.0000,0,0,0,0,0
9331.0988,9947.1642,36.0789,0.9975,18.0000,0,0,0,0,0
9331.6413,9948.0041,36.0587,0.9970,18.0000,0,0,0,0,0
9332.1842,9948.8436,36.0385,0.9962,18.0000,0,0,0,0,0
9332.7280,9949.6826,36.0184,0.9951,18.0000,0,0,0,0,0
9333.2729,9950.5209,35.9983,0.9937,18.0000,0,0,0,0,0
9333.8191,9951.3583,35.9782,0.9919,18.0000,0,0,0,0,0
9334.3669,9952.1947,35.9583,0.9898,18.0000,0,0,0,0,0
9334.9165,9953.0298,35.9384,0.9874,18.0000,0,0,0,0,0
9335.4684,9953.8635,35.9187,0.9847,18.0000,0,0,0,0,0
9336.0226,9954.6957,35.8990,0.9816,18.0000,0,0,0,0,0
9336.5795,9955.5260,35.8795,0.9782,18.0000,0,0,0,0,0
9337.1394,9956.3544,35.8601,0.9745,18.0000,0,0,0,0,0
9337.7025,9957.1805,35.8408,0.9704,18.0000,0,0,0,0,0
9338.2691,9958.0043,35.8218,0.9660,18.0000,0,0,0,0,0
9338.8395,9958.8254,35.8029,0.9612,18.0000,0,0,0,0,0
9339.4139,9959.6438,35.7842,0.9562,18.0000,0,0,0,0,0
9339.9926,9960.4591,35.7657,0.9509,18.0000,0,0,0,0,0
9340.5756,9961.2714,35.7474,0.9459,18.0000,0,0,0,0,0
9341.1624,9962.0809,35.7294,0.9414,18.0000,0,0,0,0,0
9341.7527,9962.8879,35.7116,0.9374,18.0000,0,0,0,0,0
9342.3460,9963.6927,35.6941,0.9338,18.0000,0,0,0,0,0
9342.9420,9964.4955,35.6770,0.9307,18.0000,0,0,0,0,0
9343.5403,9965.2966,35.6602,0.9281,18.0000,0,0,0,0,0
9344.1405,9966.0962,35.6438,0.9260,18.0000,0,0,0,0,0
9344.7422,9966.8948,35.6277,0.9244,18.0000,0,0,0,0,0
9345.3450,9967.6925,35.6121,0.9232,18.0000,0,0,0,0,0
9345.9486,9968.4897,35.5969,0.9226,18.0000,0,0,0,0,0
9346.5524,9969.2867,35.5821,0.9224,18.0000,0,0,0,0,0
9347.1562,9970.0836,35.5678,0.9227,18.0000,0,0,0,0,0
9347.7596,9970.8810,35.5539,0.9235,18.0000,0,0,0,0,0
9348.3622,9971.6789,35.5406,0.9247,18.0000,0,0,0,0,0
9348.9637,9972.4778,35.5278,0.9264,18.0000,0,0,0,0,0
9349.5636,9973.2777,35.5155,0.9283,18.0000,0,0,0,0,0
9350.1619,9974.0788,35.5038,0.9299,18.0000,0,0,0,0,0
9350.7594,9974.8807,35.4925,0.9305,18.0000,0,0,0,0,0
9351.3568,9975.6826,35.4818,0.9300,18.0000,0,0,0,0,0
9351.9550,9976.4838,35.4714,0.9284,18.0000,0,0,0,0,0
9352.5549,9977.2839,35.4615,0.9259,18.0000,0,0,0,0,0
9353.1572,9978.0821,35.4520,0.9223,18.0000,0,0,0,0,0
9353.7627,9978.8778,35.4427,0.9178,18.0000,0,0,0,0,0
9354.3723,9979.6705,35.4338,0.9122,18.0000,0,0,0,0,0
9354.9867,9980.4595,35.4252,0.9057,18.0000,0,0,0,0,0
9355.6066,9981.2441,35.4168,0.8981,18.0000,0,0,0,0,0
9356.2328,9982.0237,35.4086,0.8896,18.0000,0,0,0,0,0
9356.8660,9982.7977,35.4006,0.8801,18.0000,0,0,0,0,0
9357.5069,9983.5653,35.3927,0.8696,18.0000,0,0,0,0,0
9358.1561,9984.3258,35.3850,0.8582,18.0000,0,0,0,0,0
9358.8144,9985.0785,35.3774,0.8458,18.0000,0,0,0,1,0
9359.4824,9985.8227,35.3699,0.8324,18.0000,0,0,0,0,0
9360.1606,9986.5575,35.3624,0.8183,18.0000,0,0,0,0,0
9360.8493,9987.2825,35.3549,0.8040,18.0000,0,0,0,0,0
9361.5482,9987.9977,35.3474,0.7900,18.0000,0,0,0,0,0
9362.2569,9988.7032,35.3398,0.7764,18.0000,0,0,0,0,0
9362.9751,9989.3990,35.3321,0.7630,18.0000,0,0,0,0,0
9363.7023,9990.0853,35.3243,0.7499,18.0000,0,0,0,0,0
9364.4385,9990.7622,35.3164,0.7371,18.0000,0,0,0,0,0
9365.1831,9991.4296,35.3082,0.7245,18.0000,0,0,0,0,0
9365.9360,9992.0877,35.2998,0.7122,18.0000,0,0,0,0,0
9366.6969,9992.7366,35.2910,0.7000,18.0000,0,0,0,0,0
9367.4656,9993.3762,35.2820,0.6880,18.0000,0,0,0,0,0
9368.2419,9994.0066,35.2726,0.6762,18.0000,0,0,0,0,0
9369.0255,9994.6278,35.2627,0.6645,18.0000,0,0,0,0,0
9369.8162,9995.2398,35.2524,0.6529,18.0000,0,0,0,0,0
9370.6139,9995.8427,35.2416,0.6414,18.0000,0,0,0,0,0
9371.4188,9996.4365,35.2302,0.6300,18.0000,0,0,0,0,0
9372.2293,9997.0205,35.2182,0.6187,18.0000,0,0,0,0,0
9373.0440,9997.5936,35.2055,0.6073,18.0000,0,0,0,0,0
9373.8701,9998.1608,35.1921,0.5961,18.0000,0,0,0,0,0
9374.7047,9998.7202,35.1781,0.5848,18.0000,0,0,0,0,0
9375.5404,9999.2667,35.1635,0.5735,18.0000,0,0,0,0,0
9376.3842,9999.8049,35.1483,0.5621,18.0000,0,0,0,0,0
9377.2333,10000.3329,35.1326,0.5504,18.0000,0,0,0,0,0
