LID,BPID,FPID,BLID,FLID
1,1633,1634,0,0
2,1635,1636,0,0
3,1637,1638,0,0
4,1639,1640,0,0
5,1641,1642,0,0
6,1643,1644,0,0
7,1645,1646,0,0
8,1647,1648,0,0
9,1649,1650,0,0
10,1651,1652,0,0
11,1653,1654,0,0
12,1655,1656,0,0
13,1657,1658,0,0
14,1659,1660,0,0
15,1661,1662,0,0
16,1663,1664,0,0
17,1665,1666,0,0
18,1667,1668,0,0
19,1669,1670,0,0
20,1671,1672,0,0
21,1673,1674,0,0
22,1675,1676,0,0
23,1677,1678,0,0
24,1679,1680,0,0
25,1681,1682,0,0
26,1683,1684,0,0
27,1685,1686,0,0
28,1687,1688,0,0
29,1689,1690,0,0
30,1691,1692,0,0
31,1693,1694,0,0
32,1695,1696,0,0
33,1697,1698,0,0
34,1699,1700,0,0
35,1701,1702,0,0
36,1703,1704,0,0
37,1705,1706,0,0
38,1707,1708,0,0
39,1709,1710,0,0
40,1711,1712,0,0
41,1713,1714,0,0
42,1715,1716,0,0
43,1717,1718,0,0
44,1719,1720,0,0
45,1721,1722,0,0
46,1723,1724,0,0
47,1725,1726,0,0
48,1727,1728,0,0
49,1729,1730,0,0
50,1731,1732,0,0
51,1733,1734,0,0
52,1735,1736,0,0
53,1737,1738,0,0
54,1739,1740,0,0
55,1741,1742,0,0
56,1743,1744,0,0
57,1745,1746,0,0
58,1747,1748,0,0
59,1749,1750,0,0
60,1751,1752,0,0
61,1753,1754,0,0
62,1755,1756,0,0
63,1757,1758,0,0
64,1759,1760,0,0
65,1761,1762,0,0
66,1763,1764,0,0
67,1765,1766,0,0
68,1767,1768,0,0
69,1769,1770,0,0
70,1771,1772,0,0
71,1773,1774,0,0
72,1775,1776,0,0
73,1777,1778,0,0
74,1779,1780,0,0
75,1781,1782,0,0
76,1783,1784,0,0
77,1785,1786,0,0
78,1787,1788,0,0
79,1789,1790,0,0
80,1791,1792,0,0
81,1793,1794,0,0
82,1795,1796,0,0
83,1797,1798,0,0
84,1799,1800,0,0
85,1801,1802,0,0
86,1803,1804,0,0
87,1805,1806,0,0
88,1807,1808,0,0
89,1809,1810,0,0
90,1811,1812,0,0
91,1813,1814,0,0
92,1815,1816,0,0
93,1817,1818,0,0
94,1819,1820,0,0
95,1821,1822,0,0
96,1823,1824,0,0
97,1825,1826,0,0
98,1827,1828,0,0
99,1829,1830,0,0
100,1831,1832,0,0
101,1833,1834,0,0
102,1835,1836,0,0
103,1837,1838,0,0
104,1839,1840,0,0
105,1841,1842,0,0
106,1843,1844,0,0
107,1845,1846,0,0
108,1847,1848,0,0
109,1849,1850,0,0
110,1851,1852,0,0
111,1853,1854,0,0
112,1855,1856,0,0
