wp_id,x,y,z,yaw,velocity,change_flag
0,10994.3884,11350.3544,60.8645,-2.6966,0,0
1,10993.4829,11349.9176,60.8390,-2.6979,7.1161,0
2,10992.5759,11349.4787,60.8414,-2.7010,10.1595,0
3,10991.6637,11349.0420,60.8168,-2.7037,12.5605,0
4,10990.7115,11348.5905,60.8253,-2.7048,14.5622,0
5,10989.7803,11348.1496,60.8236,-2.7052,16.3173,0
6,10988.8348,11347.7008,60.8175,-2.7050,17.9254,0
7,10987.8977,11347.2575,60.8152,-2.7051,19.4124,0
8,10986.9923,11346.8286,60.8044,-2.7051,20.6912,0
9,10986.0285,11346.3701,60.7937,-2.7051,21.9905,0
10,10985.1217,11345.9420,60.7822,-2.7045,23.0306,0
11,10984.1738,11345.4925,60.7829,-2.7049,24.1122,0
12,10983.1857,11345.0229,60.7894,-2.7048,25.1157,0
13,10982.1564,11344.5351,60.7819,-2.7046,26.1155,0
14,10981.2223,11344.0927,60.7676,-2.7045,26.9768,0
15,10980.2582,11343.6359,60.7576,-2.7047,27.8607,0
16,10979.2649,11343.1658,60.7525,-2.7044,28.6217,0
17,10978.2424,11342.6823,60.7410,-2.7042,29.4880,0
18,10977.1917,11342.1847,60.7331,-2.7039,30.3013,0
19,10976.2688,11341.7471,60.7333,-2.7036,30.9586,0
20,10975.3257,11341.2990,60.7325,-2.7035,31.6680,0
21,10974.3639,11340.8413,60.7185,-2.7034,32.2488,0
22,10973.3825,11340.3753,60.6974,-2.7031,32.9065,0
23,10972.3827,11339.9011,60.6851,-2.7030,33.4202,0
24,10971.3670,11339.4202,60.6905,-2.7029,33.9844,0
25,10970.3362,11338.9310,60.6868,-2.7029,34.4682,0
26,10969.2910,11338.4343,60.6685,-2.7029,34.9231,0
27,10968.2318,11337.9315,60.6543,-2.7030,35.3673,0
28,10967.1591,11337.4222,60.6476,-2.7032,35.8344,0
29,10966.2546,11336.9934,60.6408,-2.7032,36.1993,0
30,10965.3411,11336.5591,60.6346,-2.7036,36.5726,0
31,10964.4182,11336.1222,60.6361,-2.7033,36.9396,0
32,10963.4862,11335.6809,60.6398,-2.7036,37.3020,0
33,10962.5454,11335.2347,60.6366,-2.7041,37.6526,0
34,10961.5951,11334.7857,60.6276,-2.7040,37.9885,0
35,10960.6365,11334.3328,60.6220,-2.7039,38.3156,0
36,10959.6692,11333.8758,60.6206,-2.7039,38.6734,0
37,10958.6940,11333.4144,60.6244,-2.7042,38.9899,0
38,10957.7103,11332.9486,60.6298,-2.7046,39.3380,0
39,10956.7178,11332.4799,60.6315,-2.7047,39.6635,0
40,10955.7167,11332.0071,60.6239,-2.7049,39.9339,0
41,10954.7071,11331.5302,60.6068,-2.7051,40.3439,0
42,10953.6890,11331.0507,60.5965,-2.7051,40.7001,0
43,10952.6632,11330.5672,60.5971,-2.7053,41.0052,0
44,10951.6295,11330.0805,60.6036,-2.7052,41.2812,0
45,10950.5877,11329.5895,60.6038,-2.7055,41.6278,0
46,10949.5377,11329.0955,60.5925,-2.7054,41.9039,0
