wp_id,x,y,z,yaw,velocity,change_flag
0,10995.6743,11352.3222,60.9090,-2.7019,0,0
1,10994.7715,11351.8901,60.8850,-2.7017,6.7930,0
2,10993.8655,11351.4568,60.8782,-2.6970,9.6250,0
3,10992.9600,11351.0180,60.8762,-2.6912,11.6888,0
4,10992.0248,11350.5603,60.8744,-2.6860,13.3551,0
5,10991.1116,11350.1056,60.8621,-2.6807,14.8826,0
6,10990.1862,11349.6388,60.8514,-2.6768,16.1922,0
7,10989.2716,11349.1749,60.8622,-2.6747,17.3678,0
8,10988.2913,11348.6793,60.8532,-2.6731,18.5592,0
9,10987.3443,11348.1991,60.8449,-2.6737,19.6763,0
10,10986.4455,11347.7464,60.8326,-2.6744,20.6089,0
11,10985.5058,11347.2707,60.8248,-2.6749,21.5379,0
12,10984.5216,11346.7812,60.8123,-2.6746,22.4312,0
13,10983.6150,11346.3311,60.8146,-2.6752,23.1355,0
14,10982.6787,11345.8655,60.8155,-2.6746,23.8532,0
15,10981.7130,11345.3860,60.8093,-2.6734,24.6394,0
16,10980.7208,11344.8889,60.8018,-2.6736,25.3667,0
17,10979.7011,11344.3777,60.7917,-2.6725,25.9879,0
18,10978.7874,11343.9194,60.7803,-2.6727,26.5855,0
19,10977.8528,11343.4568,60.7711,-2.6728,27.0699,0
20,10976.8993,11342.9881,60.7719,-2.6722,27.6103,0
21,10975.9277,11342.5109,60.7712,-2.6703,28.0875,0
22,10974.9430,11342.0184,60.7617,-2.6695,28.5913,0
23,10973.9419,11341.5188,60.7467,-2.6688,29.0220,0
24,10972.9263,11341.0092,60.7337,-2.6699,29.4743,0
25,10971.8959,11340.4949,60.7285,-2.6697,29.7351,0
26,10970.8482,11339.9826,60.7287,-2.6705,30.2023,0
27,10969.9407,11339.5382,60.7216,-2.6722,30.5144,0
28,10969.0247,11339.0896,60.7076,-2.6734,30.8051,0
29,10968.0989,11338.6396,60.6951,-2.6737,31.0161,0
30,10967.1653,11338.1868,60.6894,-2.6750,31.2056,0
31,10966.2248,11337.7301,60.6861,-2.6773,31.5136,0
32,10965.2756,11337.2730,60.6795,-2.6783,31.7251,0
33,10964.3184,11336.8158,60.6758,-2.6788,31.9172,0
34,10963.3533,11336.3590,60.6771,-2.6801,32.1514,0
35,10962.3817,11335.9003,60.6761,-2.6811,32.3425,0
36,10961.4036,11335.4391,60.6691,-2.6814,32.5232,0
37,10960.4202,11334.9751,60.6640,-2.6804,32.6797,0
38,10959.4314,11334.5079,60.6635,-2.6787,32.9613,0
39,10958.4391,11334.0362,60.6654,-2.6771,33.0674,0
40,10957.4436,11333.5574,60.6674,-2.6768,33.2816,0
41,10956.4433,11333.0751,60.6686,-2.6765,33.4149,0
42,10955.4367,11332.5924,60.6629,-2.6770,33.5275,0
43,10954.4240,11332.1079,60.6475,-2.6782,33.7286,0
44,10953.4047,11331.6235,60.6371,-2.6789,33.9654,0
45,10952.3793,11331.1398,60.6377,-2.6785,34.0808,0
46,10951.3490,11330.6517,60.6437,-2.6792,34.3169,0
47,10950.3134,11330.1606,60.6402,-2.6797,34.5180,0
48,10949.2711,11329.6677,60.6260,-2.6794,34.7109,0
49,10948.2231,11329.1717,60.6099,-2.6782,34.8897,0
50,10947.1703,11328.6721,60.5947,-2.6765,35.0555,0
51,10946.1138,11328.1667,60.5780,-2.6758,35.2267,0
52,10945.0535,11327.6574,60.5714,-2.6766,35.3908,0
53,10943.9878,11327.1465,60.5763,-2.6786,35.5627,0
54,10942.9151,11326.6375,60.5838,-2.6807,35.7245,0
55,10941.8336,11326.1307,60.5774,-2.6811,35.9369,0
56,10940.9266,11325.7087,60.5635,-2.6800,36.1093,0
57,10940.0175,11325.2829,60.5503,-2.6791,36.2058,0
58,10939.1060,11324.8524,60.5367,-2.6784,36.3616,0
59,10938.1920,11324.4192,60.5218,-2.6777,36.4650,0
60,10937.2767,11323.9812,60.5083,-2.6775,36.5905,0
61,10936.3580,11323.5429,60.4971,-2.6777,36.7296,0
62,10935.4372,11323.1046,60.4921,-2.6777,36.7560,0
63,10934.5141,11322.6658,60.4931,-2.6770,36.8639,0
64,10933.5896,11322.2266,60.4983,-2.6762,36.8518,0
65,10932.6636,11321.7862,60.5046,-2.6759,36.9423,0
66,10931.7372,11321.3418,60.5066,-2.6766,37.0298,0
67,10930.8078,11320.8976,60.5016,-2.6772,37.1098,0
68,10929.8752,11320.4527,60.4928,-2.6782,37.2626,0
69,10928.9388,11320.0098,60.4826,-2.6786,37.2776,0
70,10927.9996,11319.5653,60.4686,-2.6778,37.4301,0
71,10927.0582,11319.1200,60.4522,-2.6772,37.5179,0
72,10926.1156,11318.6718,60.4456,-2.6773,37.6040,0
73,10925.1715,11318.2222,60.4505,-2.6778,37.6764,0
