wp_id,x,y,z,yaw,velocity,change_flag
0,9953.1821,13108.1939,51.4927,-2.8613,0,0
1,9952.1960,13107.8953,51.4877,-2.8419,6.6886,0
2,9951.2104,13107.5715,51.4848,-2.8217,9.4787,0
3,9950.2068,13107.2334,51.4715,-2.7984,11.6662,0
4,9949.2263,13106.8660,51.4665,-2.7768,13.4947,0
5,9948.2630,13106.4860,51.4527,-2.7572,15.1441,0
6,9947.2853,13106.0800,51.4473,-2.7410,16.5807,0
7,9946.3199,13105.6592,51.4460,-2.7295,17.8683,0
8,9945.3850,13105.2399,51.4396,-2.7224,18.9993,0
9,9944.3951,13104.7929,51.4388,-2.7187,20.0897,0
10,9943.4589,13104.3653,51.4411,-2.7163,21.0717,0
11,9942.4796,13103.9154,51.4402,-2.7132,22.0662,0
12,9941.4590,13103.4439,51.4361,-2.7117,22.9443,0
13,9940.5199,13103.0058,51.4381,-2.7115,23.7173,0
14,9939.5505,13102.5519,51.4400,-2.7128,24.4597,0
15,9938.5477,13102.0892,51.4391,-2.7130,25.2194,0
16,9937.5160,13101.6112,51.4401,-2.7139,25.9463,0
17,9936.5894,13101.1821,51.4403,-2.7150,26.5781,0
18,9935.6420,13100.7455,51.4406,-2.7169,27.0903,0
19,9934.6759,13100.3022,51.4417,-2.7198,27.5874,0
20,9933.6905,13099.8542,51.4388,-2.7228,28.1057,0
21,9932.6845,13099.4032,51.4336,-2.7260,28.5848,0
22,9931.6593,13098.9478,51.4328,-2.7295,29.0625,0
23,9930.6165,13098.4870,51.4346,-2.7336,29.5226,0
24,9929.5567,13098.0243,51.4343,-2.7377,29.9116,0
25,9928.6360,13097.6271,51.4348,-2.7412,30.2177,0
26,9927.7044,13097.2296,51.4370,-2.7442,30.5288,0
27,9926.7622,13096.8314,51.4401,-2.7473,30.8273,0
28,9925.8093,13096.4321,51.4422,-2.7502,31.1443,0
29,9924.8458,13096.0302,51.4417,-2.7538,31.4398,0
30,9923.8723,13095.6283,51.4391,-2.7580,31.6924,0
31,9922.8910,13095.2275,51.4387,-2.7630,31.8666,0
32,9921.9027,13094.8297,51.4397,-2.7686,32.0008,0
33,9920.9077,13094.4359,51.4386,-2.7744,32.1444,0
34,9919.9075,13094.0466,51.4348,-2.7806,32.2237,0
35,9918.9020,13093.6628,51.4306,-2.7867,32.3150,0
36,9917.8913,13093.2837,51.4269,-2.7930,32.4047,0
37,9916.8749,13092.9104,51.4229,-2.7990,32.4908,0
38,9915.8538,13092.5422,51.4186,-2.8054,32.5935,0
39,9914.8274,13092.1798,51.4134,-2.8116,32.6765,0
40,9913.7964,13091.8222,51.4083,-2.8179,32.7626,0
41,9912.7602,13091.4706,51.4034,-2.8237,32.8560,0
42,9911.7191,13091.1240,51.3995,-2.8289,32.9624,0
43,9910.6728,13090.7816,51.3938,-2.8339,33.0583,0
44,9909.6218,13090.4431,51.3883,-2.8387,33.1621,0
45,9908.5655,13090.1089,51.3833,-2.8434,33.2752,0
46,9907.5041,13089.7790,51.3785,-2.8477,33.3766,0
47,9906.4379,13089.4527,51.3726,-2.8516,33.4789,0
48,9905.3672,13089.1295,51.3664,-2.8551,33.5822,0
49,9904.2921,13088.8089,51.3612,-2.8579,33.6797,0
50,9903.2128,13088.4903,51.3578,-2.8597,33.7891,0
51,9902.1296,13088.1728,51.3541,-2.8605,33.8932,0
52,9901.0427,13087.8553,51.3495,-2.8604,33.9979,0
53,9899.9528,13087.5361,51.3442,-2.8604,34.1011,0
54,9898.8597,13087.2149,51.3381,-2.8600,34.1995,0
55,9897.7634,13086.8928,51.3314,-2.8598,34.3042,0
56,9896.6636,13086.5697,51.3242,-2.8596,34.4204,0
57,9895.5595,13086.2444,51.3167,-2.8596,34.5879,0
58,9894.4498,13085.9177,51.3096,-2.8594,34.7641,0
59,9893.3345,13085.5890,51.3032,-2.8593,34.9466,0
60,9892.2135,13085.2586,51.2965,-2.8592,35.1196,0
61,9891.0871,13084.9263,51.2900,-2.8592,35.2975,0
62,9889.9553,13084.5917,51.2847,-2.8590,35.4588,0
63,9888.8185,13084.2552,51.2808,-2.8589,35.6161,0
64,9887.6768,13083.9173,51.2767,-2.8587,35.7694,0
65,9886.5302,13083.5775,51.2714,-2.8585,35.9275,0
66,9885.5712,13083.2933,51.2679,-2.8583,36.0414,0
67,9884.6090,13083.0079,51.2655,-2.8580,36.1704,0
68,9883.6436,13082.7215,51.2628,-2.8575,36.2859,0
69,9882.6754,13082.4334,51.2602,-2.8570,36.4053,0
70,9881.7042,13082.1442,51.2575,-2.8564,36.5154,0
71,9880.7303,13081.8535,51.2550,-2.8558,36.6196,0
72,9879.7537,13081.5617,51.2529,-2.8552,36.7250,0
73,9878.7744,13081.2687,51.2508,-2.8546,36.8309,0
74,9877.7926,13080.9739,51.2484,-2.8541,36.9342,0
75,9876.8083,13080.6780,51.2462,-2.8535,37.0282,0
76,9875.8217,13080.3804,51.2448,-2.8530,37.1291,0
77,9874.8324,13080.0816,51.2436,-2.8529,37.2284,0
78,9873.8408,13079.7814,51.2419,-2.8533,37.3321,0
79,9872.8462,13079.4812,51.2396,-2.8536,37.4386,0
80,9871.8489,13079.1807,51.2373,-2.8539,37.5315,0
81,9870.8488,13078.8797,51.2348,-2.8542,37.6380,0
