AID,SLID,ELID
1,88,91
2,92,95
3,96,99
4,100,103
5,104,107
6,108,111
7,112,115
8,116,119
9,120,123
10,124,127
11,128,131
12,132,135
13,136,139
14,140,143
15,144,147
16,148,151
17,152,155
18,156,159
19,160,163
20,164,167
21,168,171
22,172,175
23,176,179
24,180,183
25,184,187
26,188,191
27,192,195
28,196,202
29,203,206
30,207,210
31,211,214
32,215,218
33,219,222
34,223,226
35,227,230
36,231,234
37,235,238
38,239,242
39,243,246
40,247,250
41,251,254
42,255,258
43,259,262
44,263,266
45,267,270
46,271,274
47,275,278
48,279,282
49,283,286
50,287,290
51,291,294
52,295,298
53,299,302
54,303,306
55,307,310
56,311,314
57,315,318
58,319,322
59,323,326
60,327,330
61,331,334
62,335,338
63,339,342
64,343,346
65,347,350
66,351,354
67,355,358
68,359,362
69,363,366
70,367,370
71,371,374
72,375,378
73,379,382
74,383,386
75,387,390
76,391,394
77,395,398
78,399,402
