ID,AID,Type,BdID,LinkID
782,1,0,0,0
783,2,0,0,0
784,3,0,0,0
785,4,0,0,0
787,5,0,0,0
788,6,0,0,0
790,7,0,0,0
791,8,0,0,0
792,9,0,0,0
793,10,0,0,0
794,11,0,0,0
795,12,0,0,0
796,13,0,0,0
797,14,0,0,0
799,15,0,0,0
836,16,0,0,0
877,17,0,0,0
878,18,0,0,0
911,19,0,0,0
918,20,0,0,0
919,21,0,0,0
920,22,0,0,0
921,23,0,0,0
922,24,0,0,0
923,25,0,0,0
3170,26,0,0,0
3171,27,0,0,0
3172,28,0,0,0
3174,29,0,0,0
3175,30,0,0,0
3177,31,0,0,0
3178,32,0,0,0
3179,33,0,0,0
3180,34,0,0,0
3181,35,0,0,0
3182,36,0,0,0
3183,37,0,0,0
3184,38,0,0,0
3185,39,0,0,0
3186,40,0,0,0
3187,41,0,0,0
3188,42,0,0,0
3189,43,0,0,0
3190,44,0,0,0
3191,45,0,0,0
3192,46,0,0,0
3193,47,0,0,0
3194,48,0,0,0
3195,49,0,0,0
3197,50,0,0,0
3200,51,0,0,0
3201,52,0,0,0
3202,53,0,0,0
3203,54,0,0,0
3204,55,0,0,0
3205,56,0,0,0
3206,57,0,0,0
3207,58,0,0,0
3217,59,0,0,0
3218,60,0,0,0
3219,61,0,0,0
3220,62,0,0,0
3221,63,0,0,0
3222,64,0,0,0
3223,65,0,0,0
3225,66,0,0,0
3226,67,0,0,0
3233,68,0,0,0
3234,69,0,0,0
3235,70,0,0,0
3236,71,0,0,0
3237,72,0,0,0
3238,73,0,0,0
3239,74,0,0,0
3240,75,0,0,0
3241,76,0,0,0
4015,77,0,0,0
4016,78,0,0,0
