ID,LID,Height,Width,DIR,LinkID
1,403,0.20,0.00,0,0
2,404,0.20,0.00,0,0
3,405,0.20,0.00,0,0
4,406,0.20,0.00,0,0
5,407,0.20,0.00,0,0
6,408,0.20,0.00,0,0
7,409,0.20,0.00,0,0
8,410,0.20,0.00,0,0
9,411,0.20,0.00,0,0
10,412,0.20,0.00,0,0
11,413,0.20,0.00,0,0
12,414,0.20,0.00,0,0
13,415,0.20,0.00,0,0
14,416,0.20,0.00,0,0
15,417,0.20,0.00,0,0
16,418,0.20,0.00,0,0
17,419,0.20,0.00,0,0
18,420,0.20,0.00,0,0
19,421,0.20,0.00,0,0
20,422,0.20,0.00,0,0
21,423,0.20,0.00,0,0
22,424,0.20,0.00,0,0
23,425,0.20,0.00,0,0
24,426,0.20,0.00,0,0
25,427,0.20,0.00,0,0
26,428,0.20,0.00,0,0
27,429,0.20,0.00,0,0
28,430,0.20,0.00,0,0
29,431,0.20,0.00,0,0
30,432,0.20,0.00,0,0
31,433,0.20,0.00,0,0
32,434,0.20,0.00,0,0
33,435,0.20,0.00,0,0
34,436,0.20,0.00,0,0
35,437,0.20,0.00,0,0
36,438,0.20,0.00,0,0
37,439,0.20,0.00,0,0
38,440,0.20,0.00,0,0
39,441,0.20,0.00,0,0
40,442,0.20,0.00,0,0
41,443,0.20,0.00,0,0
42,444,0.20,0.00,0,0
43,445,0.20,0.00,0,0
44,446,0.20,0.00,0,0
45,447,0.20,0.00,0,0
46,448,0.20,0.00,0,0
47,449,0.20,0.00,0,0
48,450,0.20,0.00,0,0
49,451,0.20,0.00,0,0
50,452,0.20,0.00,0,0
51,453,0.20,0.00,0,0
52,454,0.20,0.00,0,0
53,455,0.20,0.00,0,0
54,456,0.20,0.00,0,0
55,457,0.20,0.00,0,0
56,458,0.20,0.00,0,0
57,459,0.20,0.00,0,0
58,460,0.20,0.00,0,0
59,461,0.20,0.00,0,0
60,462,0.20,0.00,0,0
61,463,0.20,0.00,0,0
62,464,0.20,0.00,0,0
63,465,0.20,0.00,0,0
64,466,0.20,0.00,0,0
65,467,0.20,0.00,0,0
66,468,0.20,0.00,0,0
67,469,0.20,0.00,0,0
68,470,0.20,0.00,0,0
69,471,0.20,0.00,0,0
70,472,0.20,0.00,0,0
71,473,0.20,0.00,0,0
72,474,0.20,0.00,0,0
73,475,0.20,0.00,0,0
74,476,0.20,0.00,0,0
75,477,0.20,0.00,0,0
76,478,0.20,0.00,0,0
77,479,0.20,0.00,0,0
