DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,1.146,16180,0,0,0,0,0,1.20,1.20
2,1.146,19228,0,0,0,0,0,1.20,1.20
3,1.146,42420,0,0,0,0,0,1.20,1.20
4,1.146,9060,0,0,0,0,0,1.20,1.20
5,1.146,12269,0,0,0,0,0,1.20,1.20
6,1.146,31593,0,0,0,0,0,1.20,1.20
7,1.175,18581,0,0,0,0,0,1.20,1.20
8,1.175,17348,0,0,0,0,0,1.20,1.20
9,1.175,13611,0,0,0,0,0,1.20,1.20
10,1.175,12835,0,0,0,0,0,1.20,1.20
11,1.118,26528,0,0,0,0,0,1.20,1.20
12,1.118,44029,0,0,0,0,0,1.20,1.20
13,1.118,14156,0,0,0,0,0,1.20,1.20
14,1.118,37263,0,0,0,0,0,1.20,1.20
15,1.118,11555,0,0,0,0,0,1.20,1.20
16,1.118,43754,0,0,0,0,0,1.20,1.20
17,1.118,30098,0,0,0,0,0,1.20,1.20
18,1.118,39264,0,0,0,0,0,1.20,1.20
19,1.118,27972,0,0,0,0,0,1.20,1.20
20,1.118,10146,0,0,0,0,0,1.20,1.20
21,0.980,35546,0,0,0,0,0,1.20,1.20
22,0.980,40216,0,0,0,0,0,1.20,1.20
23,0.980,38677,0,0,0,0,0,1.20,1.20
24,0.980,5244,0,0,0,0,0,1.20,1.20
25,0.980,1503,0,0,0,0,0,1.20,1.20
26,1.005,24781,0,0,0,0,0,1.20,1.20
27,1.005,27336,0,0,0,0,0,1.20,1.20
28,1.005,37906,0,0,0,0,0,1.20,1.20
29,1.005,45628,0,0,0,0,0,1.20,1.20
30,1.005,1134,0,0,0,0,0,1.20,1.20
31,1.003,29994,0,0,0,0,0,1.20,1.20
32,1.003,32626,0,0,0,0,0,1.20,1.20
33,1.003,6014,0,0,0,0,0,1.20,1.20
34,1.003,39923,0,0,0,0,0,1.20,1.20
35,1.198,32233,0,0,0,0,0,1.20,1.20
36,1.198,23914,0,0,0,0,0,1.20,1.20
37,1.198,20689,0,0,0,0,0,1.20,1.20
38,1.198,11232,0,0,0,0,0,1.20,1.20
39,1.198,38598,0,0,0,0,0,1.20,1.20
40,1.198,25093,0,0,0,0,0,1.20,1.20
41,1.198,9079,0,0,0,0,0,1.20,1.20
42,1.198,36196,0,0,0,0,0,1.20,1.20
43,1.198,10601,0,0,0,0,0,1.20,1.20
44,1.198,1127,0,0,0,0,0,1.20,1.20
45,1.198,27934,0,0,0,0,0,1.20,1.20
46,1.198,32619,0,0,0,0,0,1.20,1.20
47,1.198,9814,0,0,0,0,0,1.20,1.20
48,1.198,22455,0,0,0,0,0,1.20,1.20
49,1.198,41734,0,0,0,0,0,1.20,1.20
50,1.198,17341,0,0,0,0,0,1.20,1.20
51,1.198,44543,0,0,0,0,0,1.20,1.20
52,1.198,18814,0,0,0,0,0,1.20,1.20
53,1.198,21399,0,0,0,0,0,1.20,1.20
54,1.198,18060,0,0,0,0,0,1.20,1.20
55,1.198,9453,0,0,0,0,0,1.20,1.20
56,1.198,7147,0,0,0,0,0,1.20,1.20
57,1.198,29229,0,0,0,0,0,1.20,1.20
58,1.198,38490,0,0,0,0,0,1.20,1.20
59,1.198,286,0,0,0,0,0,1.20,1.20
60,1.187,5947,0,0,0,0,0,1.20,1.20
61,1.187,39046,0,0,0,0,0,1.20,1.20
62,1.187,22757,0,0,0,0,0,1.20,1.20
63,1.187,25987,0,0,0,0,0,1.20,1.20
64,1.187,20820,0,0,0,0,0,1.20,1.20
65,1.187,1181,0,0,0,0,0,1.20,1.20
66,1.187,4969,0,0,0,0,0,1.20,1.20
67,1.187,2909,0,0,0,0,0,1.20,1.20
68,1.187,1001,0,0,0,0,0,1.20,1.20
69,1.187,30457,0,0,0,0,0,1.20,1.20
70,1.187,42995,0,0,0,0,0,1.20,1.20
71,1.187,29505,0,0,0,0,0,1.20,1.20
72,1.187,41412,0,0,0,0,0,1.20,1.20
73,1.187,37104,0,0,0,0,0,1.20,1.20
74,1.187,23307,0,0,0,0,0,1.20,1.20
75,1.187,22319,0,0,0,0,0,1.20,1.20
76,1.187,2467,0,0,0,0,0,1.20,1.20
77,1.187,13461,0,0,0,0,0,1.20,1.20
78,1.187,32965,0,0,0,0,0,1.20,1.20
79,1.187,14732,0,0,0,0,0,1.20,1.20
80,1.187,20404,0,0,0,0,0,1.20,1.20
81,1.187,34819,0,0,0,0,0,1.20,1.20
82,1.187,4850,0,0,0,0,0,1.20,1.20
83,1.187,37835,0,0,0,0,0,1.20,1.20
84,1.187,35385,0,0,0,0,0,1.20,1.20
85,1.187,6383,0,0,0,0,0,1.20,1.20
86,1.187,27318,0,0,0,0,0,1.20,1.20
87,1.166,32553,0,0,0,0,0,1.20,1.20
88,1.166,25218,0,0,0,0,0,1.20,1.20
89,1.166,13175,0,0,0,0,0,1.20,1.20
90,1.166,27238,0,0,0,0,0,1.20,1.20
91,1.166,1646,0,0,0,0,0,1.20,1.20
92,1.166,28910,0,0,0,0,0,1.20,1.20
