PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
54885,0,0,60.40312194824219,11366.295,11019.481000000002,0,0,0,0
54886,0,0,60.48187255859375,11371.841999999999,11025.103000000001,0,0,0,0
54887,0,0,60.69499969482422,11385.372,11034.298,0,0,0,0
47083,0,0,50.34000015258789,10778.571000000002,7311.016,0,0,0,0
47084,0,0,50.25124740600586,10783.749,7308.576999999999,0,0,0,0
47085,0,0,50.20000076293945,10789.698,7305.7519999999995,0,0,0,0
47086,0,0,50.20437240600586,10797.444,7302.286,0,0,0,0
47087,0,0,50.116249084472656,10802.861,7299.813,0,0,0,0
47088,0,0,50.10562515258789,10803.35,7299.589,0,0,0,0
47089,0,0,50.10625076293945,10804.19,7299.118,0,0,0,0
47090,0,0,50.08124923706055,10805.518,7298.371999999999,0,0,0,0
47091,0,0,50.07437515258789,10806.132,7298.026999999999,0,0,0,0
47092,0,0,50.365623474121094,10797.261999999999,7296.604,0,0,0,0
47093,0,0,50.36687469482422,10798.973999999998,7296.669,0,0,0,0
47094,0,0,50.365623474121094,10797.861,7296.861,0,0,0,0
47095,0,0,50.25874710083008,10800.45,7296.069,0,0,0,0
47096,0,0,50.342498779296875,10800.215,7295.128000000001,0,0,0,0
47097,0,0,50.21500015258789,10804.901000000002,7294.058000000001,0,0,0,0
47098,0,0,50.33562469482422,10799.723,7294.486,0,0,0,0
47099,0,0,50.35874938964844,10797.883,7295.170999999999,0,0,0,0
47100,0,0,50.35874938964844,10797.261999999999,7295.641,0,0,0,0
47101,0,0,50.30062484741211,10804.302,7293.651,0,0,0,0
47102,0,0,50.29624938964844,10805.736,7293.758000000001,0,0,0,0
47103,0,0,50.21937561035156,10806.763,7293.224,0,0,0,0
47104,0,0,50.16874694824219,10807.212,7293.01,0,0,0,0
47105,0,0,50.227500915527344,10807.319,7292.517,0,0,0,0
47106,0,0,50.21999740600586,10803.981000000002,7292.924,0,0,0,0
47107,0,0,50.21125030517578,10807.148000000001,7291.854,0,0,0,0
47108,0,0,50.236873626708984,10806.656,7291.704000000001,0,0,0,0
47109,0,0,50.15374755859375,10798.803,7290.125,0,0,0,0
47110,0,0,50.22249984741211,10795.55,7291.533,0,0,0,0
47111,0,0,50.27937316894531,10793.923999999999,7291.875,0,0,0,0
47112,0,0,50.279998779296875,10791.098999999998,7291.576,0,0,0,0
47113,0,0,50.453125,10776.838,7291.8330000000005,0,0,0,0
47114,0,0,50.37624740600586,10789.643999999998,7290.891,0,0,0,0
47115,0,0,50.34000015258789,10788.489,7290.399,0,0,0,0
47116,0,0,50.44312286376953,10786.178,7288.409000000001,0,0,0,0
47117,0,0,50.12125015258789,10800.171,7289.534000000001,0,0,0,0
47118,0,0,50.131874084472656,10801.618999999999,7288.906999999999,0,0,0,0
47119,0,0,50.15937423706055,10809.973,7284.643,0,0,0,0
47120,0,0,50.06749725341797,10809.031,7285.584,0,0,0,0
47121,0,0,50.104373931884766,10807.319,7286.44,0,0,0,0
47122,0,0,50.44062423706055,10785.3,7287.146,0,0,0,0
47123,0,0,50.56312561035156,10776.88,7287.616999999999,0,0,0,0
47124,0,0,50.7599983215332,10775.788999999999,7282.866999999999,0,0,0,0
47125,0,0,49.98749923706055,10821.827,7280.064,0,0,0,0
47126,0,0,50.02499771118164,10811.171,7281.69,0,0,0,0
47127,0,0,50.11000061035156,10810.871000000001,7283.102,0,0,0,0
47128,0,0,49.98500061035156,10827.177,7278.181,0,0,0,0
47129,0,0,49.97312545776367,10831.413,7276.255,0,0,0,0
47130,0,0,49.96937561035156,10815.836000000001,7276.255,0,0,0,0
47131,0,0,50.09874725341797,10810.743,7278.223000000001,0,0,0,0
47132,0,0,49.93687438964844,10817.546999999999,7278.523,0,0,0,0
47133,0,0,49.95687484741211,10818.831,7279.335999999999,0,0,0,0
47134,0,0,50.04375076293945,10823.453000000001,7279.6359999999995,0,0,0,0
47135,0,0,50.05187225341797,10814.081,7272.703,0,0,0,0
47136,0,0,49.9631233215332,10833.746000000001,7275.024,0,0,0,0
47137,0,0,49.9631233215332,10833.746000000001,7275.024,0,0,0,0
47138,0,0,49.971248626708984,10835.886,7274.04,0,0,0,0
47139,0,0,50.0256233215332,10838.411,7272.885,0,0,0,0
47140,0,0,49.93375015258789,10855.465,7264.732,0,0,0,0
47141,0,0,49.93874740600586,10851.442,7266.743,0,0,0,0
47142,0,0,49.96125030517578,10847.761999999999,7268.519,0,0,0,0
47143,0,0,49.84749984741211,10871.043,7257.221,0,0,0,0
47144,0,0,49.84812545776367,10864.88,7260.238,0,0,0,0
47145,0,0,49.854373931884766,10860.001,7262.571,0,0,0,0
47146,0,0,50.00124740600586,10879.816,7252.963000000001,0,0,0,0
47147,0,0,49.93874740600586,10878.04,7253.904,0,0,0,0
47148,0,0,49.8849983215332,10883.046999999999,7251.315,0,0,0,0
47149,0,0,49.95124816894531,10886.899,7249.454000000001,0,0,0,0
47150,0,0,49.885623931884766,10917.766000000001,7232.826999999999,0,0,0,0
47151,0,0,49.90937423706055,10912.951000000001,7235.438,0,0,0,0
47152,0,0,49.87999725341797,10911.089,7236.615,0,0,0,0
47153,0,0,49.946250915527344,10906.596000000001,7238.946999999999,0,0,0,0
47154,0,0,49.94249725341797,10892.74,7246.544,0,0,0,0
47155,0,0,49.939998626708984,10890.194,7247.849,0,0,0,0
47156,0,0,49.958126068115234,10896.485,7244.746,0,0,0,0
47157,0,0,49.88624954223633,10899.01,7243.3769999999995,0,0,0,0
47158,0,0,49.88624954223633,10899.01,7243.3769999999995,0,0,0,0
47159,0,0,49.975624084472656,10901.685,7241.857,0,0,0,0
47160,0,0,49.6349983215332,10944.62,7216.629,0,0,0,0
47161,0,0,49.627498626708984,10940.383,7219.325,0,0,0,0
47162,0,0,49.62125015258789,10936.038999999999,7222.214,0,0,0,0
47163,0,0,49.71812438964844,10932.659,7224.418000000001,0,0,0,0
47164,0,0,49.79312515258789,10928.657,7226.9,0,0,0,0
47165,0,0,49.75749969482422,10927.288,7227.755999999999,0,0,0,0
47166,0,0,49.7974967956543,10922.216,7230.302,0,0,0,0
47167,0,0,49.79437255859375,10925.982,7228.034000000001,0,0,0,0
