PLID,VID,Length,Dim
114,1,0.60,0.10
116,2,0.60,0.10
166,3,0.60,0.10
156,4,0.60,0.10
157,5,0.60,0.10
158,6,0.60,0.10
151,7,0.60,0.10
152,8,0.60,0.10
124,9,0.60,0.10
125,10,0.60,0.10
129,11,0.60,0.10
160,12,0.60,0.10
163,13,0.60,0.10
164,14,0.60,0.10
165,15,0.60,0.10
167,16,0.60,0.10
168,17,0.60,0.10
169,18,0.60,0.10
170,19,0.60,0.10
171,20,0.60,0.10
172,21,0.60,0.10
173,22,0.60,0.10
126,23,0.60,0.10
155,24,0.60,0.10
113,25,0.60,0.10
159,26,0.60,0.10
162,27,0.60,0.10
154,28,0.60,0.10
153,29,0.60,0.10
128,30,0.60,0.10
178,31,0.60,0.10
179,32,0.60,0.10
180,33,0.60,0.10
181,34,0.60,0.10
182,35,0.60,0.10
189,36,0.60,0.10
190,37,0.60,0.10
202,38,0.60,0.10
203,39,0.60,0.10
204,40,0.60,0.10
205,41,0.60,0.10
209,42,0.60,0.10
103,43,0.60,0.10
214,44,0.60,0.10
221,45,0.60,0.10
191,46,0.60,0.10
174,47,0.60,0.10
175,48,0.60,0.10
176,49,0.60,0.10
177,50,0.60,0.10
183,51,0.60,0.10
184,52,0.60,0.10
185,53,0.60,0.10
186,54,0.60,0.10
187,55,0.60,0.10
109,56,0.60,0.10
133,57,0.60,0.10
161,58,0.60,0.10
188,59,0.60,0.10
101,60,0.60,0.10
108,61,0.60,0.10
104,62,0.60,0.10
102,63,0.60,0.10
106,64,0.60,0.10
219,65,0.60,0.10
115,66,0.60,0.10
120,67,0.60,0.10
121,68,0.60,0.10
122,69,0.60,0.10
123,70,0.60,0.10
130,71,0.60,0.10
137,72,0.60,0.10
138,73,0.60,0.10
143,74,0.60,0.10
144,75,0.60,0.10
145,76,0.60,0.10
146,77,0.60,0.10
147,78,0.60,0.10
225,79,0.60,0.10
207,80,0.60,0.10
208,81,0.60,0.10
210,82,0.60,0.10
211,83,0.60,0.10
226,84,0.60,0.10
199,85,0.60,0.10
222,86,0.60,0.10
198,87,0.60,0.10
197,88,0.60,0.10
150,89,0.60,0.10
227,90,0.60,0.10
127,91,0.60,0.10
149,92,0.60,0.10
148,93,0.60,0.10
119,94,0.60,0.10
132,95,0.60,0.10
217,96,0.60,0.10
111,97,0.60,0.10
229,98,0.60,0.10
136,99,0.60,0.10
135,100,0.60,0.10
134,101,0.60,0.10
131,102,0.60,0.10
201,103,0.60,0.10
200,104,0.60,0.10
213,105,0.60,0.10
212,106,0.60,0.10
118,107,0.60,0.10
117,108,0.60,0.10
112,109,0.60,0.10
193,110,0.60,0.10
231,111,0.60,0.10
232,112,0.60,0.10
228,113,0.60,0.10
216,114,0.60,0.10
215,115,0.60,0.10
194,116,0.60,0.10
142,117,0.60,0.10
141,118,0.60,0.10
140,119,0.60,0.10
234,120,0.60,0.10
233,121,0.60,0.10
192,122,0.60,0.10
235,123,0.60,0.10
236,124,0.60,0.10
237,125,0.60,0.10
139,126,0.60,0.10
