ID,VID,PLID,Type,LinkID
1142,127,114,2,305
1143,128,114,3,305
1141,129,114,1,305
1162,130,116,2,305
1163,131,116,3,305
1161,132,116,1,305
1662,133,166,2,244
1663,134,166,3,244
1661,135,166,1,244
1562,136,156,2,326
1563,137,156,3,326
1561,138,156,1,326
1572,139,157,2,326
1573,140,157,3,326
1571,141,157,1,326
1582,142,158,2,326
1583,143,158,3,326
1581,144,158,1,326
1512,145,151,2,328
1513,146,151,3,328
1511,147,151,1,328
1522,148,152,2,328
1523,149,152,3,328
1521,150,152,1,328
1242,151,124,2,327
1243,152,124,3,327
1241,153,124,1,327
1252,154,125,2,327
1253,155,125,3,327
1251,156,125,1,327
1292,157,129,2,337
1293,158,129,3,337
1291,159,129,1,337
1602,160,160,2,339
1603,161,160,3,339
1601,162,160,1,339
1632,163,163,2,337
1633,164,163,3,337
1631,165,163,1,337
1642,166,164,2,340
1643,167,164,3,340
1641,168,164,1,340
1652,169,165,2,342
1653,170,165,3,342
1651,171,165,1,342
1672,172,167,2,341
1673,173,167,3,341
1671,174,167,1,341
1682,175,168,2,344
1683,176,168,3,344
1681,177,168,1,344
1692,178,169,2,345
1693,179,169,3,345
1691,180,169,1,345
1702,181,170,2,349
1703,182,170,3,349
1701,183,170,1,349
1712,184,171,2,347
1713,185,171,3,347
1711,186,171,1,347
1722,187,172,2,351
1723,188,172,3,351
1721,189,172,1,351
1732,190,173,2,351
1733,191,173,3,351
1731,192,173,1,351
1262,193,126,2,330
1263,194,126,3,330
1261,195,126,1,330
1552,196,155,2,329
1553,197,155,3,329
1551,198,155,1,329
1132,199,113,2,334
1133,200,113,3,334
1131,201,113,1,334
1592,202,159,2,355
1593,203,159,3,355
1591,204,159,1,355
1622,205,162,2,330
1623,206,162,3,330
1621,207,162,1,330
1542,208,154,2,329
1543,209,154,3,329
1541,210,154,1,329
1532,211,153,2,329
1533,212,153,3,329
1531,213,153,1,329
1282,214,128,2,333
1283,215,128,3,333
1281,216,128,1,333
1782,217,178,2,276
1783,218,178,3,276
1781,219,178,1,276
1792,220,179,2,271
1793,221,179,3,271
1791,222,179,1,271
1802,223,180,2,270
1803,224,180,3,270
1801,225,180,1,270
1812,226,181,2,272
1813,227,181,3,272
1811,228,181,1,272
1822,229,182,2,274
1823,230,182,3,274
1821,231,182,1,274
1892,232,189,2,295
1893,233,189,3,295
1891,234,189,1,295
1902,235,190,2,294
1903,236,190,3,294
1901,237,190,1,294
2022,238,202,2,297
2023,239,202,3,297
2021,240,202,1,297
2032,241,203,2,297
2033,242,203,3,297
2031,243,203,1,297
2042,244,204,2,298
2043,245,204,3,298
2041,246,204,1,298
2052,247,205,2,298
2053,248,205,3,298
2051,249,205,1,298
2092,250,209,2,300
2093,251,209,3,300
2091,252,209,1,300
1032,253,103,2,157
1033,254,103,3,157
1031,255,103,1,157
2142,256,214,2,355
2143,257,214,3,355
2141,258,214,1,355
2212,259,221,2,326
2213,260,221,3,326
2211,261,221,1,326
1912,262,191,2,310
1913,263,191,3,310
1911,264,191,1,310
1742,265,174,2,353
1743,266,174,3,353
1741,267,174,1,353
1752,268,175,2,352
1753,269,175,3,352
1751,270,175,1,352
1762,271,176,2,350
1763,272,176,3,350
1761,273,176,1,350
1772,274,177,2,350
1773,275,177,3,350
1771,276,177,1,350
1832,277,183,2,340
1833,278,183,3,340
1831,279,183,1,340
1842,280,184,2,344
1843,281,184,3,344
1841,282,184,1,344
1852,283,185,2,343
1853,284,185,3,343
1851,285,185,1,343
1862,286,186,2,353
1863,287,186,3,353
1861,288,186,1,353
1872,289,187,2,350
1873,290,187,3,350
1871,291,187,1,350
1092,292,109,2,161
1093,293,109,3,161
1091,294,109,1,161
1332,295,133,2,308
1333,296,133,3,308
1331,297,133,1,308
1612,298,161,2,338
1613,299,161,3,338
1611,300,161,1,338
1882,301,188,2,349
1883,302,188,3,349
1881,303,188,1,349
1012,304,101,2,154
1013,305,101,3,154
1011,306,101,1,154
1082,307,108,2,155
1083,308,108,3,155
1081,309,108,1,155
1042,310,104,2,155
1043,311,104,3,155
1041,312,104,1,155
1022,313,102,2,154
1023,314,102,3,154
1021,315,102,1,154
1062,316,106,2,159
1063,317,106,3,159
1061,318,106,1,159
2192,319,219,2,330
2193,320,219,3,330
2191,321,219,1,330
1152,322,115,2,305
1153,323,115,3,305
1151,324,115,1,305
1202,325,120,2,311
1203,326,120,3,311
1201,327,120,1,311
1212,328,121,2,311
1213,329,121,3,311
1211,330,121,1,311
1222,331,122,2,311
1223,332,122,3,311
1221,333,122,1,311
1232,334,123,2,314
1233,335,123,3,314
1231,336,123,1,314
1302,337,130,2,304
1303,338,130,3,304
1301,339,130,1,304
1372,340,137,2,313
1373,341,137,3,313
1371,342,137,1,313
1382,343,138,2,313
1383,344,138,3,313
1381,345,138,1,313
1432,346,143,2,322
1433,347,143,3,322
1431,348,143,1,322
1442,349,144,2,322
1443,350,144,3,322
1441,351,144,1,322
1452,352,145,2,322
1453,353,145,3,322
1451,354,145,1,322
1462,355,146,2,323
1463,356,146,3,323
1461,357,146,1,323
1472,358,147,2,324
1473,359,147,3,324
1471,360,147,1,324
2252,361,225,2,332
2253,362,225,3,332
2251,363,225,1,332
2072,364,207,2,340
2073,365,207,3,340
2071,366,207,1,340
2082,367,208,2,343
2083,368,208,3,343
2081,369,208,1,343
2102,370,210,2,348
2103,371,210,3,348
2101,372,210,1,348
2112,373,211,2,342
2113,374,211,3,342
2111,375,211,1,342
2262,376,226,2,354
2263,377,226,3,354
2261,378,226,1,354
1992,379,199,2,325
1993,380,199,3,325
1991,381,199,1,325
2222,382,222,2,321
2223,383,222,3,321
2221,384,222,1,321
1982,385,198,2,325
1983,386,198,3,325
1981,387,198,1,325
1972,388,197,2,325
1973,389,197,3,325
1971,390,197,1,325
1502,391,150,2,317
1503,392,150,3,317
1501,393,150,1,317
2272,394,227,2,159
2273,395,227,3,159
2271,396,227,1,159
1272,397,127,2,318
1273,398,127,3,318
1271,399,127,1,318
1492,400,149,2,317
1493,401,149,3,317
1491,402,149,1,317
1482,403,148,2,317
1483,404,148,3,317
1481,405,148,1,317
1192,406,119,2,307
1193,407,119,3,307
1191,408,119,1,307
1322,409,132,2,306
1323,410,132,3,306
1321,411,132,1,306
2172,412,217,2,306
2173,413,217,3,306
2171,414,217,1,306
1112,415,111,2,160
1113,416,111,3,160
1111,417,111,1,160
2292,418,229,2,356
2293,419,229,3,356
2291,420,229,1,356
1362,421,136,2,312
1363,422,136,3,312
1361,423,136,1,312
1352,424,135,2,312
1353,425,135,3,312
1351,426,135,1,312
1342,427,134,2,309
1343,428,134,3,309
1341,429,134,1,309
1312,430,131,2,306
1313,431,131,3,306
1311,432,131,1,306
2012,433,201,2,335
2013,434,201,3,335
2011,435,201,1,335
2002,436,200,2,336
2003,437,200,3,336
2001,438,200,1,336
2132,439,213,2,338
2133,440,213,3,338
2131,441,213,1,338
2122,442,212,2,338
2123,443,212,3,338
2121,444,212,1,338
1182,445,118,2,307
1183,446,118,3,307
1181,447,118,1,307
1172,448,117,2,307
1173,449,117,3,307
1171,450,117,1,307
1122,451,112,2,160
1123,452,112,3,160
1121,453,112,1,160
1932,454,193,2,321
1933,455,193,3,321
1931,456,193,1,321
2312,457,231,2,316
2313,458,231,3,316
2311,459,231,1,316
2322,460,232,2,316
2323,461,232,3,316
2321,462,232,1,316
2282,463,228,2,356
2283,464,228,3,356
2281,465,228,1,356
2162,466,216,2,308
2163,467,216,3,308
2161,468,216,1,308
2152,469,215,2,312
2153,470,215,3,312
2151,471,215,1,312
1942,472,194,2,321
1943,473,194,3,321
1941,474,194,1,321
1422,475,142,2,319
1423,476,142,3,319
1421,477,142,1,319
1412,478,141,2,319
1413,479,141,3,319
1411,480,141,1,319
1402,481,140,2,320
1403,482,140,3,320
1401,483,140,1,320
2342,484,234,2,336
2343,485,234,3,336
2341,486,234,1,336
2332,487,233,2,334
2333,488,233,3,334
2331,489,233,1,334
1922,490,192,2,315
1923,491,192,3,315
1921,492,192,1,315
2352,493,235,2,372
2353,494,235,3,372
2351,495,235,1,372
2362,496,236,2,373
2363,497,236,3,373
2361,498,236,1,373
2372,499,237,2,374
2373,500,237,3,374
2371,501,237,1,374
1392,502,139,2,315
1393,503,139,3,315
1391,504,139,1,315
