ID,LID,TLID,SignID,LinkID
302,58,0,0,12011
303,59,0,0,39627
303,59,0,0,39645
357,68,0,0,1506
363,76,0,0,23870
363,76,0,0,45104
346,8,0,0,13417
266,34,0,0,4168
275,38,0,0,24520
285,40,0,0,35962
290,41,0,0,7080
383,48,0,0,46084
383,48,0,0,46097
362,50,0,0,39292
362,50,0,0,39300
375,51,0,0,43969
381,55,0,0,44407
382,57,0,0,3327
381,55,0,24,832
376,56,0,18,1668
158,32,0,25,22542
154,26,1013,0,22075
155,27,1043,0,22890
157,31,1032,0,1641
159,28,2273,0,3470
160,29,1122,0,43400
160,29,1122,0,43405
161,30,1093,0,24414
244,33,1663,0,29584
270,35,1803,0,32478
271,36,1793,0,35746
272,47,1811,0,25731
274,37,1823,0,24572
276,39,1782,0,24610
294,42,1903,0,34563
295,43,1892,0,32944
297,44,2022,0,30685
297,44,2022,0,30684
298,45,2052,0,8039
300,46,2093,0,9136
304,60,1301,0,6727
305,69,1161,0,31138
305,69,1161,0,6639
306,18,2173,0,39808
306,18,2173,0,17245
307,70,1193,0,6855
307,70,1193,0,27124
308,71,1332,0,12177
309,72,1343,0,6775
310,62,1912,0,39706
311,73,1211,0,10157
311,73,1211,0,6835
312,74,1352,0,39532
312,74,1352,0,39433
313,63,1371,0,6587
313,63,1371,0,6568
314,75,1232,0,6867
315,20,1391,0,44707
315,20,1391,0,42552
316,77,2321,0,32120
316,77,2321,0,6965
317,78,1483,0,6337
317,78,1483,0,6398
317,78,1483,0,21829
318,79,1272,0,6535
318,79,1272,0,6967
319,80,1423,0,39846
319,80,1423,0,39342
320,67,1403,0,39864
321,49,2223,0,37070
321,49,2223,0,2829
321,49,2223,0,37043
321,49,2223,0,4090
322,64,1431,0,39570
322,64,1431,0,6492
322,64,1431,0,39551
323,65,1462,0,21794
324,66,1471,0,39596
325,83,1982,0,41779
325,83,1982,0,7257
325,83,1982,0,41712
325,83,1982,0,41753
326,84,1583,0,10331
326,84,1583,0,20
326,84,1583,0,919
327,3,1251,0,25804
327,3,1251,0,31975
327,3,1251,0,41823
328,2,1521,0,27129
328,2,1521,0,25735
329,4,1551,0,36616
329,4,1551,0,43345
329,4,1551,0,22665
330,16,1622,0,43452
332,21,2253,0,31438
333,22,1281,0,27141
334,5,2332,0,1725
335,23,2013,0,37435
336,19,2342,0,41868
337,24,1633,0,4051
337,24,1633,0,42254
338,61,2122,0,37814
339,81,1603,0,31466
340,85,1831,0,11245
340,85,1831,0,10385
341,86,1673,0,11260
342,87,1653,0,13568
343,1,1853,0,31018
344,6,1843,0,11153
345,7,1691,0,19153
345,7,1691,0,32348
347,9,1712,0,30852
348,10,2101,0,10592
349,11,1881,0,10675
350,12,1872,0,10454
350,12,1872,0,10733
351,13,1731,0,10774
351,13,1731,0,10692
352,14,1751,0,10506
353,15,1741,0,9757
353,15,1741,0,10970
354,17,2262,0,5314
355,82,2143,0,31843
356,25,2293,0,2896
356,25,2293,0,19963
356,25,2293,0,21031
372,52,2351,0,44098
373,53,2362,0,43903
374,54,2371,0,43939
