VID,PID,Hang,Vang
1,46081,330.00,0.00
2,46082,330.00,0.00
3,46083,145.00,0.00
4,46084,225.00,0.00
5,46085,225.00,0.00
6,46086,225.00,0.00
7,46087,50.00,0.00
8,46088,40.00,0.00
9,46089,130.00,0.00
10,46090,130.00,0.00
11,46091,195.00,0.00
12,46092,330.00,0.00
13,46093,200.00,0.00
14,46094,200.00,0.00
15,46095,15.00,0.00
16,46096,315.00,0.00
17,46097,200.00,0.00
18,46098,135.00,0.00
19,46099,25.00,0.00
20,46100,315.00,0.00
21,46101,315.00,0.00
22,46102,315.00,0.00
23,46103,145.00,0.00
24,46104,315.00,0.00
25,46105,270.00,0.00
26,46106,340.00,0.00
27,46107,160.00,0.00
28,46108,315.00,0.00
29,46109,315.00,0.00
30,46110,175.00,0.00
31,46111,200.00,0.00
32,46112,130.00,0.00
33,46113,130.00,0.00
34,46114,320.00,0.00
35,46115,35.00,0.00
36,46116,315.00,0.00
37,46117,40.00,0.00
38,46118,210.00,0.00
39,46119,210.00,0.00
40,46120,30.00,0.00
41,46121,30.00,0.00
42,46122,20.00,0.00
43,46123,40.00,0.00
44,46124,340.00,0.00
45,46125,225.00,0.00
46,46126,45.00,0.00
47,46127,215.00,0.00
48,46128,215.00,0.00
49,46129,40.00,0.00
50,46130,40.00,0.00
51,46131,195.00,0.00
52,46132,190.00,0.00
53,46133,190.00,0.00
54,46134,215.00,0.00
55,46135,25.00,0.00
56,46136,320.00,0.00
57,46137,145.00,0.00
58,46138,27.00,0.00
59,46139,20.00,0.00
60,46140,135.00,0.00
61,46141,315.00,0.00
62,46142,325.00,0.00
63,46143,135.00,0.00
64,46144,135.00,0.00
65,46145,145.00,0.00
66,46146,330.00,0.00
67,46147,330.00,0.00
68,46148,330.00,0.00
69,46149,330.00,0.00
70,46150,80.00,0.00
71,46151,45.00,0.00
72,46152,45.00,0.00
73,46153,45.00,0.00
74,46154,227.00,0.00
75,46155,227.00,0.00
76,46156,227.00,0.00
77,46157,227.00,0.00
78,46158,235.00,0.00
79,46159,178.00,0.00
80,46160,185.00,0.00
81,46161,195.00,0.00
82,46162,20.00,0.00
83,46163,15.00,0.00
84,46164,20.00,0.00
85,46165,315.00,0.00
86,46166,135.00,0.00
87,46167,315.00,0.00
88,46168,315.00,0.00
89,46169,315.00,0.00
90,46170,120.00,0.00
91,46171,135.00,0.00
92,46172,315.00,0.00
93,46173,315.00,0.00
94,46174,330.00,0.00
95,46175,150.00,0.00
96,46176,155.00,0.00
97,46177,45.00,0.00
98,46178,315.00,0.00
99,46179,145.00,0.00
100,46180,140.00,0.00
101,46181,145.00,0.00
102,46182,150.00,0.00
103,46183,5.00,0.00
104,46184,15.00,0.00
105,46185,30.00,0.00
106,46186,30.00,0.00
107,46187,330.00,0.00
108,46188,330.00,0.00
109,46189,45.00,0.00
110,46190,135.00,0.00
111,46191,35.00,0.00
112,46192,35.00,0.00
113,46193,315.00,0.00
114,46194,140.00,0.00
115,46195,140.00,0.00
116,46196,135.00,0.00
117,46197,137.00,0.00
118,46198,137.00,0.00
119,46199,137.00,0.00
120,46200,30.00,0.00
121,46201,250.00,0.00
122,46202,45.00,0.00
123,46203,240.00,0.00
124,46204,240.00,0.00
125,46205,240.00,0.00
126,46206,45.00,0.00
127,46207,330.00,90.00
128,46208,330.00,90.00
129,46209,330.00,90.00
130,46210,330.00,90.00
131,46211,330.00,90.00
132,46212,330.00,90.00
133,46213,145.00,90.00
134,46214,145.00,90.00
135,46215,145.00,90.00
136,46216,225.00,90.00
137,46217,225.00,90.00
138,46218,225.00,90.00
139,46219,225.00,90.00
140,46220,225.00,90.00
141,46221,225.00,90.00
142,46222,225.00,90.00
143,46223,225.00,90.00
144,46224,225.00,90.00
145,46225,50.00,90.00
146,46226,50.00,90.00
147,46227,50.00,90.00
148,46228,40.00,90.00
149,46229,40.00,90.00
150,46230,40.00,90.00
151,46231,130.00,90.00
152,46232,130.00,90.00
153,46233,130.00,90.00
154,46234,130.00,90.00
155,46235,130.00,90.00
156,46236,130.00,90.00
157,46237,195.00,90.00
158,46238,195.00,90.00
159,46239,195.00,90.00
160,46240,330.00,90.00
161,46241,330.00,90.00
162,46242,330.00,90.00
163,46243,200.00,90.00
164,46244,200.00,90.00
165,46245,200.00,90.00
166,46246,200.00,90.00
167,46247,200.00,90.00
168,46248,200.00,90.00
169,46249,15.00,90.00
170,46250,15.00,90.00
171,46251,15.00,90.00
172,46252,315.00,90.00
173,46253,315.00,90.00
174,46254,315.00,90.00
175,46255,200.00,90.00
176,46256,200.00,90.00
177,46257,200.00,90.00
178,46258,135.00,90.00
179,46259,135.00,90.00
180,46260,135.00,90.00
181,46261,25.00,90.00
182,46262,25.00,90.00
183,46263,25.00,90.00
184,46264,315.00,90.00
185,46265,315.00,90.00
186,46266,315.00,90.00
187,46267,315.00,90.00
188,46268,315.00,90.00
189,46269,315.00,90.00
190,46270,315.00,90.00
191,46271,315.00,90.00
192,46272,315.00,90.00
193,46273,145.00,90.00
194,46274,145.00,90.00
195,46275,145.00,90.00
196,46276,315.00,90.00
197,46277,315.00,90.00
198,46278,315.00,90.00
199,46279,270.00,90.00
200,46280,270.00,90.00
201,46281,270.00,90.00
202,46282,340.00,90.00
203,46283,340.00,90.00
204,46284,340.00,90.00
205,46285,160.00,90.00
206,46286,160.00,90.00
207,46287,160.00,90.00
208,46288,315.00,90.00
209,46289,315.00,90.00
210,46290,315.00,90.00
211,46291,315.00,90.00
212,46292,315.00,90.00
213,46293,315.00,90.00
214,46294,175.00,90.00
215,46295,175.00,90.00
216,46296,175.00,90.00
217,46297,200.00,90.00
218,46298,200.00,90.00
219,46299,200.00,90.00
220,46300,130.00,90.00
221,46301,130.00,90.00
222,46302,130.00,90.00
223,46303,130.00,90.00
224,46304,130.00,90.00
225,46305,130.00,90.00
226,46306,320.00,90.00
