LID,BPID,FPID,BLID,FLID
1,30693,21946,0,2
2,21946,30694,1,0
3,30695,21611,0,4
4,21611,30696,3,0
5,30697,30203,0,6
6,30203,30698,5,0
7,30699,22033,0,8
8,22033,30700,7,0
9,30701,22307,0,10
10,22307,30702,9,0
11,30703,13655,0,12
12,13655,30704,11,0
13,30705,22667,0,14
14,22667,30706,13,0
15,30707,12100,0,16
16,12100,30708,15,0
17,30709,13145,0,18
18,13145,30710,17,0
19,30711,13914,0,20
20,13914,30712,19,0
21,30713,13274,0,22
22,13274,30714,21,0
23,30715,23263,0,24
24,23263,30716,23,0
25,30717,16195,0,26
26,16195,30718,25,0
27,30719,3380,0,28
28,3380,30720,27,0
29,30721,3224,0,30
30,3224,30722,29,0
31,30723,3043,0,32
32,3043,30724,31,0
33,30725,3150,0,34
34,3150,30726,33,0
35,30727,4749,0,36
36,4749,30728,35,0
37,30729,4569,0,38
38,4569,30730,37,0
39,30731,22918,0,40
40,22918,30732,39,0
41,30733,4155,0,42
42,4155,30734,41,0
43,30735,14138,0,44
44,14138,30736,43,0
45,30737,1362,0,46
46,1362,30738,45,0
47,30739,2809,0,48
48,2809,30740,47,0
49,30741,1630,0,50
50,1630,30742,49,0
51,30743,23688,0,52
52,23688,30744,51,0
53,30745,4870,0,54
54,4870,30746,53,0
55,30747,10203,0,56
56,10203,30748,55,0
57,30749,1779,0,58
58,1779,30750,57,0
59,30751,1812,0,60
60,1812,30752,59,0
61,30753,1835,0,62
62,1835,30754,61,0
63,30755,1952,0,64
64,1952,30756,63,0
65,30757,11881,0,66
66,11881,30758,65,0
67,30759,17,0,68
68,17,30760,67,0
69,30761,23493,0,70
70,23493,30762,69,0
71,30763,23533,0,72
72,23533,30764,71,0
73,30765,30451,0,74
74,30451,30766,73,0
75,30767,65,0,76
76,65,30768,75,0
77,30769,137,0,78
78,137,30770,77,0
79,30771,396,0,80
80,396,30772,79,0
81,30773,450,0,82
82,450,30774,81,0
83,30775,554,0,84
84,554,30776,83,0
85,30777,829,0,86
86,829,30778,85,0
87,30779,981,0,88
88,981,30780,87,0
89,30781,929,0,90
90,929,30782,89,0
91,30783,993,0,92
92,993,30784,91,0
93,30785,977,0,94
94,977,30786,93,0
95,30787,1347,0,96
96,1347,30788,95,0
97,30789,1244,0,98
98,1244,30790,97,0
99,30791,2256,0,100
100,2256,30792,99,0
101,30793,2149,0,102
102,2149,30794,101,0
103,30795,2227,0,104
104,2227,30796,103,0
105,30797,2207,0,106
106,2207,30798,105,0
107,30799,2226,0,108
108,2226,30800,107,0
109,30801,2255,0,110
110,2255,30802,109,0
111,30803,2177,0,112
112,2177,30804,111,0
113,30805,3126,0,114
114,3126,30806,113,0
115,30807,3104,0,116
116,3104,30808,115,0
117,30809,3758,0,118
118,3758,30810,117,0
119,30811,3223,0,120
120,3223,30812,119,0
121,30813,3133,0,122
122,3133,30814,121,0
123,30815,3595,0,124
124,3595,30816,123,0
125,30817,3562,0,126
126,3562,30818,125,0
127,30819,3484,0,128
128,3484,30820,127,0
129,30821,3527,0,130
130,3527,30822,129,0
131,30823,3622,0,132
132,3622,30824,131,0
133,30825,3589,0,134
134,3589,30826,133,0
135,30827,3511,0,136
136,3511,30828,135,0
137,30829,3924,0,138
138,3924,30830,137,0
139,30831,3892,0,140
140,3892,30832,139,0
141,30833,3466,0,142
142,3466,30834,141,0
143,30835,4556,0,144
144,4556,30836,143,0
145,30837,4606,0,146
146,4606,30838,145,0
147,30839,21593,0,148
148,21593,30840,147,0
149,30841,12230,0,150
150,12230,30842,149,0
151,30843,1951,0,152
152,1951,30844,151,0
153,30845,2122,0,154
154,2122,30846,153,0
155,30847,1834,0,156
156,1834,30848,155,0
157,30849,13629,0,158
158,13629,30850,157,0
159,30851,19622,0,160
160,19622,30852,159,0
161,30853,9768,0,162
162,9768,30854,161,0
163,30855,19519,0,164
164,19519,30856,163,0
165,30857,19663,0,166
166,19663,30858,165,0
167,30859,19642,0,168
168,19642,30860,167,0
169,30861,19451,0,170
170,19451,30862,169,0
171,30863,19813,0,172
172,19813,30864,171,0
173,30865,17588,0,174
174,17588,30866,173,0
175,30867,17485,0,176
176,17485,30868,175,0
177,30869,20235,0,178
178,20235,30870,177,0
179,30871,20479,0,180
180,20479,30872,179,0
181,30873,24321,0,182
182,24321,30874,181,0
183,30875,19557,0,184
184,19557,30876,183,0
185,30877,9408,0,186
186,9408,30878,185,0
187,30879,17369,0,188
