ID,VID,PLID,Type,LinkID
12,2,1,2,96
13,3,1,3,96
11,4,1,1,96
42,6,4,2,15
43,7,4,3,15
41,8,4,1,15
52,10,5,2,15
53,11,5,3,15
51,12,5,1,15
62,14,6,2,15
63,15,6,3,15
61,16,6,1,15
72,18,7,2,17
73,19,7,3,17
71,20,7,1,17
82,22,8,2,17
83,23,8,3,17
81,24,8,1,17
92,26,9,2,17
93,27,9,3,17
91,28,9,1,17
102,30,10,2,19
103,31,10,3,19
101,32,10,1,19
112,34,11,2,19
113,35,11,3,19
111,36,11,1,19
122,38,12,2,19
123,39,12,3,19
121,40,12,1,19
132,42,13,2,23
133,43,13,3,23
131,44,13,1,23
152,46,15,2,30
153,47,15,3,30
151,48,15,1,30
172,50,17,2,30
173,51,17,3,30
171,52,17,1,30
182,54,18,2,33
183,55,18,3,33
181,56,18,1,33
192,58,19,2,28
193,59,19,3,28
191,60,19,1,28
212,62,21,2,7
213,63,21,3,7
211,64,21,1,7
232,66,23,2,5
233,67,23,3,5
231,68,23,1,5
242,70,24,2,97
243,71,24,3,97
241,72,24,1,97
252,74,25,2,98
253,75,25,3,98
251,76,25,1,98
262,78,26,2,98
263,79,26,3,98
261,80,26,1,98
272,82,27,2,45
273,83,27,3,45
271,84,27,1,45
282,86,28,2,45
283,87,28,3,45
281,88,28,1,45
292,90,29,2,43
293,91,29,3,43
291,92,29,1,43
302,94,30,2,43
303,95,30,3,43
301,96,30,1,43
312,98,31,2,36
313,99,31,3,36
311,100,31,1,36
322,102,32,2,35
323,103,32,3,35
321,104,32,1,35
352,106,35,2,27
353,107,35,3,27
351,108,35,1,27
362,110,36,2,73
363,111,36,3,73
361,112,36,1,73
372,114,37,2,75
373,115,37,3,75
371,116,37,1,75
382,118,38,2,74
383,119,38,3,74
381,120,38,1,74
392,122,39,2,78
393,123,39,3,78
391,124,39,1,78
402,126,40,2,77
403,127,40,3,77
401,128,40,1,77
412,130,41,2,76
413,131,41,3,76
411,132,41,1,76
422,134,42,2,80
423,135,42,3,80
421,136,42,1,80
432,138,43,2,79
433,139,43,3,79
431,140,43,1,79
442,142,44,2,87
443,143,44,3,87
441,144,44,1,87
452,146,45,2,87
453,147,45,3,87
451,148,45,1,87
462,150,46,2,87
463,151,46,3,87
461,152,46,1,87
472,154,47,2,94
473,155,47,3,94
471,156,47,1,94
482,158,48,2,95
483,159,48,3,95
481,160,48,1,95
492,162,49,2,51
493,163,49,3,51
491,164,49,1,51
502,166,50,2,51
503,167,50,3,51
501,168,50,1,51
512,170,51,2,51
513,171,51,3,51
511,172,51,1,51
522,174,52,2,93
523,175,52,3,93
521,176,52,1,93
532,178,53,2,91
533,179,53,3,91
531,180,53,1,91
542,182,54,2,92
543,183,54,3,92
541,184,54,1,92
552,186,55,2,50
553,187,55,3,50
551,188,55,1,50
562,190,56,2,1
563,191,56,3,1
561,192,56,1,1
572,194,57,2,179
573,195,57,3,179
571,196,57,1,179
582,198,58,2,33
583,199,58,3,33
581,200,58,1,33
592,202,59,2,5
593,203,59,3,5
591,204,59,1,5
612,206,61,2,102
613,207,61,3,102
611,208,61,1,102
622,210,62,2,105
623,211,62,3,105
621,212,62,1,105
632,214,63,2,104
633,215,63,3,104
631,216,63,1,104
642,218,64,2,106
643,219,64,3,106
641,220,64,1,106
652,222,65,2,107
653,223,65,3,107
651,224,65,1,107
662,226,66,2,113
663,227,66,3,113
661,228,66,1,113
672,230,67,2,109
673,231,67,3,109
671,232,67,1,109
682,234,68,2,112
683,235,68,3,112
681,236,68,1,112
692,238,69,2,122
693,239,69,3,122
691,240,69,1,122
702,242,70,2,121
703,243,70,3,121
701,244,70,1,121
712,246,71,2,129
713,247,71,3,129
711,248,71,1,129
722,250,72,2,127
723,251,72,3,127
721,252,72,1,127
732,254,73,2,123
733,255,73,3,123
731,256,73,1,123
742,258,74,2,124
743,259,74,3,124
741,260,74,1,124
752,262,75,2,151
753,263,75,3,151
751,264,75,1,151
772,266,77,2,145
773,267,77,3,145
771,268,77,1,145
782,270,78,2,144
783,271,78,3,144
781,272,78,1,144
792,274,79,2,146
793,275,79,3,146
