VID,PID,Hang,Vang
1,30971,270.0,0.0
2,30972,270.0,90.0
3,30973,270.0,90.0
4,30974,270.0,90.0
5,30975,330.0,0.0
6,30976,330.0,90.0
7,30977,330.0,90.0
8,30978,330.0,90.0
9,30979,330.0,0.0
10,30980,330.0,90.0
11,30981,330.0,90.0
12,30982,330.0,90.0
13,30983,330.0,0.0
14,30984,330.0,90.0
15,30985,330.0,90.0
16,30986,330.0,90.0
17,30987,330.0,0.0
18,30988,330.0,90.0
19,30989,330.0,90.0
20,30990,330.0,90.0
21,30991,330.0,0.0
22,30992,330.0,90.0
23,30993,330.0,90.0
24,30994,330.0,90.0
25,30995,330.0,0.0
26,30996,330.0,90.0
27,30997,330.0,90.0
28,30998,330.0,90.0
29,30999,330.0,0.0
30,31000,330.0,90.0
31,31001,330.0,90.0
32,31002,330.0,90.0
33,31003,330.0,0.0
34,31004,330.0,90.0
35,31005,330.0,90.0
36,31006,330.0,90.0
37,31007,330.0,0.0
38,31008,330.0,90.0
39,31009,330.0,90.0
40,31010,330.0,90.0
41,31011,80.0,0.0
42,31012,80.0,90.0
43,31013,80.0,90.0
44,31014,80.0,90.0
45,31015,130.0,0.0
46,31016,130.0,90.0
47,31017,130.0,90.0
48,31018,130.0,90.0
49,31019,130.0,0.0
50,31020,130.0,90.0
51,31021,130.0,90.0
52,31022,130.0,90.0
53,31023,145.0,0.0
54,31024,145.0,90.0
55,31025,145.0,90.0
56,31026,145.0,90.0
57,31027,135.0,0.0
58,31028,135.0,90.0
59,31029,135.0,90.0
60,31030,135.0,90.0
61,31031,175.0,0.0
62,31032,175.0,90.0
63,31033,175.0,90.0
64,31034,175.0,90.0
65,31035,195.0,0.0
66,31036,195.0,90.0
67,31037,195.0,90.0
68,31038,195.0,90.0
69,31039,45.0,0.0
70,31040,45.0,90.0
71,31041,45.0,90.0
72,31042,45.0,90.0
73,31043,150.0,0.0
74,31044,150.0,90.0
75,31045,150.0,90.0
76,31046,150.0,90.0
77,31047,150.0,0.0
78,31048,150.0,90.0
79,31049,150.0,90.0
80,31050,150.0,90.0
81,31051,145.0,0.0
82,31052,145.0,90.0
83,31053,145.0,90.0
84,31054,145.0,90.0
85,31055,145.0,0.0
86,31056,145.0,90.0
87,31057,145.0,90.0
88,31058,145.0,90.0
89,31059,140.0,0.0
90,31060,140.0,90.0
91,31061,140.0,90.0
92,31062,140.0,90.0
93,31063,145.0,0.0
94,31064,145.0,90.0
95,31065,145.0,90.0
96,31066,145.0,90.0
97,31067,45.0,0.0
98,31068,45.0,90.0
99,31069,45.0,90.0
100,31070,45.0,90.0
101,31071,45.0,0.0
102,31072,45.0,90.0
103,31073,45.0,90.0
104,31074,45.0,90.0
105,31075,45.0,0.0
106,31076,45.0,90.0
107,31077,45.0,90.0
108,31078,45.0,90.0
109,31079,137.0,0.0
110,31080,137.0,90.0
111,31081,137.0,90.0
112,31082,137.0,90.0
113,31083,137.0,0.0
114,31084,137.0,90.0
115,31085,137.0,90.0
116,31086,137.0,90.0
117,31087,137.0,0.0
118,31088,137.0,90.0
119,31089,137.0,90.0
120,31090,137.0,90.0
121,31091,227.0,0.0
122,31092,227.0,90.0
123,31093,227.0,90.0
124,31094,227.0,90.0
125,31095,227.0,0.0
126,31096,227.0,90.0
127,31097,227.0,90.0
128,31098,227.0,90.0
129,31099,227.0,0.0
130,31100,227.0,90.0
131,31101,227.0,90.0
132,31102,227.0,90.0
133,31103,227.0,0.0
134,31104,227.0,90.0
135,31105,227.0,90.0
136,31106,227.0,90.0
137,31107,235.0,0.0
138,31108,235.0,90.0
139,31109,235.0,90.0
140,31110,235.0,90.0
141,31111,315.0,0.0
142,31112,315.0,90.0
143,31113,315.0,90.0
144,31114,315.0,90.0
145,31115,315.0,0.0
146,31116,315.0,90.0
147,31117,315.0,90.0
148,31118,315.0,90.0
149,31119,315.0,0.0
150,31120,315.0,90.0
151,31121,315.0,90.0
152,31122,315.0,90.0
153,31123,50.0,0.0
154,31124,50.0,90.0
155,31125,50.0,90.0
156,31126,50.0,90.0
157,31127,40.0,0.0
158,31128,40.0,90.0
159,31129,40.0,90.0
160,31130,40.0,90.0
161,31131,315.0,0.0
162,31132,315.0,90.0
163,31133,315.0,90.0
164,31134,315.0,90.0
165,31135,315.0,0.0
166,31136,315.0,90.0
167,31137,315.0,90.0
168,31138,315.0,90.0
169,31139,315.0,0.0
170,31140,315.0,90.0
171,31141,315.0,90.0
172,31142,315.0,90.0
173,31143,225.0,0.0
174,31144,225.0,90.0
175,31145,225.0,90.0
176,31146,225.0,90.0
177,31147,225.0,0.0
178,31148,225.0,90.0
179,31149,225.0,90.0
180,31150,225.0,90.0
181,31151,225.0,0.0
182,31152,225.0,90.0
183,31153,225.0,90.0
184,31154,225.0,90.0
185,31155,340.0,0.0
186,31156,340.0,90.0
187,31157,340.0,90.0
188,31158,340.0,90.0
189,31159,330.0,0.0
190,31160,330.0,90.0
191,31161,330.0,90.0
192,31162,330.0,90.0
193,31163,27.0,0.0
194,31164,27.0,90.0
195,31165,27.0,90.0
