x,y,z,yaw,velocity,change_flag
8133.9436,10245.1467,58.8234,-2.2655,0,0
8133.3340,10244.3434,58.8294,-2.2614,5.4772,0
8132.7246,10243.5370,58.8458,-2.2592,7.4918,0
8132.1220,10242.7352,58.8662,-2.2575,8.8986,0
8131.5070,10241.9154,58.8886,-2.2561,10.0180,0
8130.8987,10241.0994,58.9104,-2.2545,10.8401,0
8130.2704,10240.2557,58.9370,-2.2529,11.4210,0
8129.6703,10239.4483,58.9653,-2.2516,11.9166,0
8129.0669,10238.6299,58.9825,-2.2504,12.4255,0
8128.4654,10237.8176,59.0026,-2.2484,12.6639,0
8127.8525,10236.9890,59.0225,-2.2470,12.8350,0
8127.2496,10236.1792,59.0382,-2.2464,13.0724,0
8126.6202,10235.3141,59.0549,-2.2456,13.4439,0
8126.0128,10234.5102,59.0947,-2.2424,13.3319,0
8125.4173,10233.6978,59.1435,-2.2429,13.4623,0
8124.8145,10232.8814,59.1316,-2.2427,13.4769,0
8124.2166,10232.0766,59.2025,-2.2427,13.2683,0
8123.6033,10231.2454,59.2456,-2.2430,13.2495,0
8122.9872,10230.4184,59.2600,-2.2427,13.1867,0
8122.3744,10229.5931,59.2994,-2.2414,13.1870,0
8121.7691,10228.7683,59.3257,-2.2411,13.0418,0
8121.1670,10227.9560,59.3600,-2.2403,12.8864,0
8120.5745,10227.1501,59.3853,-2.2405,12.7994,0
8119.9629,10226.3143,59.3950,-2.2403,12.8510,0
8119.3683,10225.5098,59.4191,-2.2370,12.8493,0
8118.7589,10224.6741,59.4311,-2.2249,12.8025,0
8118.1658,10223.8332,59.4466,-2.1979,12.7696,0
8117.5975,10222.9697,59.4658,-2.1543,12.9127,0
8117.0885,10222.0999,59.4842,-2.1006,13.0411,0
8116.6193,10221.1979,59.4971,-2.0346,13.1150,0
8116.2160,10220.2664,59.5140,-1.9547,13.0238,0
8115.8945,10219.2734,59.5226,-1.8569,12.9705,0
8115.6827,10218.2948,59.5333,-1.7515,12.8711,0
8115.5746,10217.2755,59.5630,-1.6353,12.7078,0
8115.5988,10216.2230,59.5852,-1.5115,12.6160,0
8115.7507,10215.2215,59.6165,-1.3921,12.5952,0
8116.0115,10214.2447,59.6531,-1.2718,12.5446,0
8116.3916,10213.3139,59.6802,-1.1566,12.4387,0
8116.8900,10212.4103,59.6995,-1.0448,12.2993,0
8117.4792,10211.5747,59.7190,-0.9393,12.1917,0
