LID,BPID,FPID,BLID,FLID
1,30692,21946,0,2
2,21946,30693,1,0
3,30694,21611,0,4
4,21611,30695,3,0
5,30696,30203,0,6
6,30203,30697,5,0
7,30698,22033,0,8
8,22033,30699,7,0
9,30700,22307,0,10
10,22307,30701,9,0
11,30702,13655,0,12
12,13655,30703,11,0
13,30704,22667,0,14
14,22667,30705,13,0
15,30706,12100,0,16
16,12100,30707,15,0
17,30708,13145,0,18
18,13145,30709,17,0
19,30710,13914,0,20
20,13914,30711,19,0
21,30712,13274,0,22
22,13274,30713,21,0
23,30714,23263,0,24
24,23263,30715,23,0
25,30716,16195,0,26
26,16195,30717,25,0
27,30718,3380,0,28
28,3380,30719,27,0
29,30720,3224,0,30
30,3224,30721,29,0
31,30722,3043,0,32
32,3043,30723,31,0
33,30724,3150,0,34
34,3150,30725,33,0
35,30726,4749,0,36
36,4749,30727,35,0
37,30728,4569,0,38
38,4569,30729,37,0
39,30730,22918,0,40
40,22918,30731,39,0
41,30732,4155,0,42
42,4155,30733,41,0
43,30734,14138,0,44
44,14138,30735,43,0
45,30736,1362,0,46
46,1362,30737,45,0
47,30738,2809,0,48
48,2809,30739,47,0
49,30740,1630,0,50
50,1630,30741,49,0
51,30742,23688,0,52
52,23688,30743,51,0
53,30744,4870,0,54
54,4870,30745,53,0
55,30746,10203,0,56
56,10203,30747,55,0
57,30748,1779,0,58
58,1779,30749,57,0
59,30750,1812,0,60
60,1812,30751,59,0
61,30752,1835,0,62
62,1835,30753,61,0
63,30754,1952,0,64
64,1952,30755,63,0
65,30756,11881,0,66
66,11881,30757,65,0
67,30758,17,0,68
68,17,30759,67,0
69,30760,23493,0,70
70,23493,30761,69,0
71,30762,23533,0,72
72,23533,30763,71,0
73,30764,30451,0,74
74,30451,30765,73,0
75,30766,65,0,76
76,65,30767,75,0
77,30768,137,0,78
78,137,30769,77,0
79,30770,396,0,80
80,396,30771,79,0
81,30772,450,0,82
82,450,30773,81,0
83,30774,554,0,84
84,554,30775,83,0
85,30776,829,0,86
86,829,30777,85,0
87,30778,981,0,88
88,981,30779,87,0
89,30780,929,0,90
90,929,30781,89,0
91,30782,993,0,92
92,993,30783,91,0
93,30784,977,0,94
94,977,30785,93,0
95,30786,1347,0,96
96,1347,30787,95,0
97,30788,1244,0,98
98,1244,30789,97,0
99,30790,2256,0,100
100,2256,30791,99,0
101,30792,2149,0,102
102,2149,30793,101,0
103,30794,2227,0,104
104,2227,30795,103,0
105,30796,2207,0,106
106,2207,30797,105,0
107,30798,2226,0,108
108,2226,30799,107,0
109,30800,2255,0,110
110,2255,30801,109,0
111,30802,2177,0,112
112,2177,30803,111,0
113,30804,3126,0,114
114,3126,30805,113,0
115,30806,3104,0,116
116,3104,30807,115,0
117,30808,3758,0,118
118,3758,30809,117,0
119,30810,3223,0,120
120,3223,30811,119,0
121,30812,3133,0,122
122,3133,30813,121,0
123,30814,3595,0,124
124,3595,30815,123,0
125,30816,3562,0,126
126,3562,30817,125,0
127,30818,3484,0,128
128,3484,30819,127,0
129,30820,3527,0,130
130,3527,30821,129,0
131,30822,3622,0,132
132,3622,30823,131,0
133,30824,3589,0,134
134,3589,30825,133,0
135,30826,3511,0,136
136,3511,30827,135,0
137,30828,3924,0,138
138,3924,30829,137,0
139,30830,3892,0,140
140,3892,30831,139,0
141,30832,3466,0,142
