PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0.0,0.0,34.584999084472656,9426.275000000373,9347.14300000004,0,0,0,0
2,0.0,0.0,34.56187438964844,9425.311999999918,9347.457000000053,0,0,0,0
3,0.0,0.0,34.54874801635742,9424.349999999627,9347.771999999997,0,0,0,0
4,0.0,0.0,34.58374786376953,9423.387000000104,9348.08600000001,0,0,0,0
5,0.0,0.0,34.58250045776367,9422.42399999965,9348.400000000023,0,0,0,0
6,0.0,0.0,34.57624816894531,9421.46200000029,9348.714999999967,0,0,0,0
7,0.0,0.0,34.61312484741211,9420.498999999836,9349.02899999998,0,0,0,0
8,0.0,0.0,34.62125015258789,9419.536999999546,9349.344000000041,0,0,0,0
9,0.0,0.0,34.63062286376953,9418.574000000022,9349.658000000054,0,0,0,0
10,0.0,0.0,34.64812469482422,9417.618999999948,9350.001000000047,0,0,0,0
11,0.0,0.0,34.65187454223633,9416.66299999971,9350.344000000041,0,0,0,0
12,0.0,0.0,34.651248931884766,9415.707999999635,9350.687000000034,0,0,0,0
13,0.0,0.0,34.686248779296875,9414.752000000328,9351.030000000028,0,0,0,0
14,0.0,0.0,34.6875,9413.797000000253,9351.373000000021,0,0,0,0
15,0.0,0.0,35.45000076293945,9295.98099999968,9395.48199999996,0,0,0,0
16,0.0,0.0,35.46062469482422,9295.621000000276,9394.869999999995,0,0,0,0
17,0.0,0.0,35.46062469482422,9295.23099999968,9394.212999999989,0,0,0,0
18,0.0,0.0,35.696876525878906,9208.643000000156,9483.449000000022,0,0,0,0
19,0.0,0.0,35.705623626708984,9207.902999999933,9484.128000000026,0,0,0,0
20,0.0,0.0,35.705623626708984,9207.163999999873,9484.80799999996,0,0,0,0
21,0.0,0.0,35.72374725341797,9206.42399999965,9485.486999999965,0,0,0,0
22,0.0,0.0,35.734375,9205.684000000358,9486.167000000016,0,0,0,0
23,0.0,0.0,35.717498779296875,9204.945000000298,9486.84600000002,0,0,0,0
24,0.0,0.0,35.740623474121094,9204.205000000075,9487.525000000023,0,0,0,0
25,0.0,0.0,35.74812316894531,9203.466000000015,9488.204999999958,0,0,0,0
26,0.0,0.0,35.73187255859375,9202.725999999791,9488.883999999962,0,0,0,0
27,0.0,0.0,35.73937225341797,9201.985999999568,9489.564000000013,0,0,0,0
28,0.0,0.0,35.75312423706055,9201.24700000044,9490.243000000017,0,0,0,0
29,0.0,0.0,35.744998931884766,9200.507000000216,9490.922999999952,0,0,0,0
30,0.0,0.0,35.7443733215332,9199.766999999993,9491.601999999955,0,0,0,0
31,0.0,0.0,35.75937271118164,9199.027999999933,9492.280999999959,0,0,0,0
32,0.0,0.0,35.74562454223633,9198.28799999971,9492.96100000001,0,0,0,0
33,0.0,0.0,35.752498626708984,9197.54899999965,9493.640000000014,0,0,0,0
34,0.0,0.0,35.75562286376953,9196.809000000358,9494.319999999949,0,0,0,0
35,0.0,0.0,35.75562286376953,9196.069000000134,9494.998999999953,0,0,0,0
36,0.0,0.0,35.7599983215332,9195.330000000075,9495.677999999956,0,0,0,0
