PLID,VID,Length,Dim
1,1,0.6,0.1
4,5,0.6,0.1
5,9,0.6,0.1
6,13,0.6,0.1
7,17,0.6,0.1
8,21,0.6,0.1
9,25,0.6,0.1
10,29,0.6,0.1
11,33,0.6,0.1
12,37,0.6,0.1
13,41,0.6,0.1
15,45,0.6,0.1
17,49,0.6,0.1
18,53,0.6,0.1
19,57,0.6,0.1
21,61,0.6,0.1
23,65,0.6,0.1
24,69,0.6,0.1
25,73,0.6,0.1
26,77,0.6,0.1
27,81,0.6,0.1
28,85,0.6,0.1
29,89,0.6,0.1
30,93,0.6,0.1
31,97,0.6,0.1
32,101,0.6,0.1
35,105,0.6,0.1
36,109,0.6,0.1
37,113,0.6,0.1
38,117,0.6,0.1
39,121,0.6,0.1
40,125,0.6,0.1
41,129,0.6,0.1
42,133,0.6,0.1
43,137,0.6,0.1
44,141,0.6,0.1
45,145,0.6,0.1
46,149,0.6,0.1
47,153,0.6,0.1
48,157,0.6,0.1
49,161,0.6,0.1
50,165,0.6,0.1
51,169,0.6,0.1
52,173,0.6,0.1
53,177,0.6,0.1
54,181,0.6,0.1
55,185,0.6,0.1
56,189,0.6,0.1
57,193,0.6,0.1
58,197,0.6,0.1
59,201,0.6,0.1
61,205,0.6,0.1
62,209,0.6,0.1
63,213,0.6,0.1
64,217,0.6,0.1
65,221,0.6,0.1
66,225,0.6,0.1
67,229,0.6,0.1
68,233,0.6,0.1
69,237,0.6,0.1
70,241,0.6,0.1
71,245,0.6,0.1
72,249,0.6,0.1
73,253,0.6,0.1
74,257,0.6,0.1
75,261,0.6,0.1
77,265,0.6,0.1
78,269,0.6,0.1
79,273,0.6,0.1
81,277,0.6,0.1
82,281,0.6,0.1
83,285,0.6,0.1
84,289,0.6,0.1
85,293,0.6,0.1
86,297,0.6,0.1
87,301,0.6,0.1
89,305,0.6,0.1
90,309,0.6,0.1
91,313,0.6,0.1
94,317,0.6,0.1
95,321,0.6,0.1
96,325,0.6,0.1
97,329,0.6,0.1
98,333,0.6,0.1
99,337,0.6,0.1
100,341,0.6,0.1
101,345,0.6,0.1
104,349,0.6,0.1
105,353,0.6,0.1
106,357,0.6,0.1
107,361,0.6,0.1
108,365,0.6,0.1
109,369,0.6,0.1
110,373,0.6,0.1
111,377,0.6,0.1
112,381,0.6,0.1
113,385,0.6,0.1
114,389,0.6,0.1
115,393,0.6,0.1
116,397,0.6,0.1
117,401,0.6,0.1
118,405,0.6,0.1
119,409,0.6,0.1
120,413,0.6,0.1
121,417,0.6,0.1
122,421,0.6,0.1
123,425,0.6,0.1
