ID,LID,TLID,SignID,LinkID
1,1,562,0,21959
2,3,1042,0,21760
3,5,1052,0,30282
4,7,232,0,22321
5,9,592,0,22351
7,11,212,0,13636
15,13,62,0,22684
15,15,62,0,12077
17,17,92,0,13129
17,19,92,0,13894
19,21,122,0,13254
19,23,122,0,23518
23,25,132,0,16175
24,27,0,0,23403
25,29,0,0,23138
26,31,942,0,23266
27,33,352,0,23202
28,35,192,0,4723
30,37,172,0,13610
30,39,172,0,22944
32,41,0,0,23042
33,43,1232,0,14116
34,45,0,0,12017
35,47,322,0,4760
36,49,312,0,4782
37,51,0,0,23727
39,53,0,0,4846
40,55,0,0,10175
43,57,1192,0,3007
43,59,1192,0,2789
45,61,1202,0,12506
45,63,1202,0,12285
47,65,0,0,23749
48,67,0,0,15
49,69,0,0,23685
50,71,1182,0,24154
51,73,512,0,30533
51,75,512,0,62
51,77,512,0,134
54,79,0,0,496
55,81,0,0,537
56,83,0,0,1181
58,85,0,0,924
59,87,0,6,1523
60,89,0,0,1043
61,91,0,0,987
62,93,0,0,1055
65,95,0,0,1357
66,97,0,0,1266
69,99,952,0,28986
70,101,982,0,29017
71,103,972,0,29048
72,105,962,0,29080
73,107,362,0,2210
74,109,382,0,2238
75,111,372,0,2163
76,113,412,0,3105
77,115,402,0,3084
78,117,392,0,3790
79,119,432,0,3200
80,121,422,0,3262
85,123,1012,0,13539
85,125,1012,0,3690
85,127,1012,0,13383
85,129,1012,0,4431
87,131,1222,0,3594
87,133,1222,0,3563
87,135,1222,0,3487
91,137,532,0,4043
92,139,542,0,3863
93,141,522,0,3894
94,143,472,0,13720
95,145,482,0,13845
96,147,12,0,21993
97,149,242,0,12209
98,151,1212,0,1939
98,153,1212,0,2108
100,155,912,0,1823
101,157,0,0,23638
102,159,1112,0,19615
103,161,0,0,9737
104,163,632,0,19549
105,165,1152,0,20481
106,167,642,0,19634
107,169,832,0,19440
108,171,1122,0,20737
109,173,872,0,17568
110,175,1142,0,17465
111,177,0,0,20239
112,179,682,0,20540
113,181,662,0,24430
114,183,0,0,24352
115,185,0,0,9379
116,187,0,0,17470
117,189,0,0,17602
120,191,0,0,19599
121,193,702,0,18146
122,195,692,0,18525
123,197,862,0,18286
124,199,742,0,10850
127,201,722,0,17008
128,203,0,0,19092
129,205,852,0,19005
130,207,0,0,17052
134,209,0,0,18387
135,211,0,0,18485
138,213,0,0,8510
144,215,782,0,24531
145,217,772,0,28263
146,219,792,0,8597
147,221,0,0,8555
148,223,812,0,7306
150,225,0,0,7244
151,227,752,0,7350
154,229,0,0,8202
155,231,0,0,4874
156,233,0,0,5042
157,235,0,0,4861
159,237,0,0,28406
161,239,0,0,4970
162,241,0,0,20898
163,243,0,0,28472
164,245,0,0,28512
165,247,0,0,21148
166,249,0,0,21219
167,251,0,0,4909
168,253,0,0,6430
170,255,0,0,6067
171,257,0,0,16657
172,259,0,0,16588
173,261,0,0,16651
178,263,902,0,26898
174,265,892,0,25065
179,267,1172,0,30272
180,269,1072,0,21407
181,271,1092,0,7078
182,273,1102,0,28689
183,275,1132,0,10270
28,277,192,0,3840
