ID,LID,Width,Color,type,LinkID
1,5981,10.0,W,0,0
2,5982,10.0,W,0,0
3,5983,10.0,W,0,0
4,5984,10.0,W,0,0
5,5985,10.0,W,0,0
6,5986,10.0,W,0,0
7,5987,10.0,W,0,0
8,5988,10.0,W,0,0
9,5989,10.0,W,0,0
10,5990,10.0,W,0,0
11,5991,10.0,W,0,0
12,5992,10.0,W,0,0
13,5993,10.0,W,0,0
14,5994,10.0,W,0,0
15,5995,10.0,W,0,0
16,5996,10.0,W,0,0
17,5997,10.0,W,0,0
18,5998,10.0,W,0,0
19,5999,10.0,W,0,0
20,6000,10.0,W,0,0
21,6001,10.0,W,0,0
22,6002,10.0,W,0,0
23,6003,10.0,W,0,0
24,6004,10.0,W,0,0
25,6005,10.0,W,0,0
26,6006,10.0,W,0,0
27,6007,10.0,W,0,0
28,6008,10.0,W,0,0
29,6009,10.0,W,0,0
30,6010,10.0,W,0,0
31,6011,10.0,W,0,0
32,6012,10.0,W,0,0
33,6013,10.0,W,0,0
34,6014,10.0,W,0,0
35,6015,10.0,W,0,0
36,6016,10.0,W,0,0
37,6017,10.0,W,0,0
38,6018,10.0,W,0,0
39,6019,10.0,W,0,0
40,6020,10.0,W,0,0
41,6021,10.0,W,0,0
42,6022,10.0,W,0,0
43,6023,10.0,W,1,0
44,6024,10.0,W,1,0
45,6025,10.0,W,1,0
46,6026,10.0,W,1,0
47,6027,10.0,W,0,0
48,6028,10.0,W,0,0
49,6029,10.0,W,0,0
50,6030,10.0,W,0,0
51,6031,10.0,W,0,0
52,6032,10.0,W,0,0
53,6033,10.0,W,0,0
54,6034,10.0,W,0,0
55,6035,10.0,W,0,0
56,6036,10.0,W,0,0
57,6037,10.0,W,0,0
58,6038,10.0,W,0,0
59,6039,10.0,W,0,0
60,6040,10.0,W,0,0
61,6041,10.0,W,0,0
62,6042,10.0,W,0,0
63,6043,10.0,W,0,0
64,6044,10.0,W,0,0
65,6045,10.0,W,0,0
66,6046,10.0,W,0,0
67,6047,10.0,W,0,0
68,6048,10.0,W,0,0
69,6049,10.0,W,0,0
70,6050,10.0,W,0,0
71,6051,10.0,W,0,0
72,6052,10.0,W,0,0
