x,y,z,yaw,velocity,change_flag
11043.3855,11371.2220,61.0907,-2.6966,0,0
11042.4801,11370.7804,61.0595,-2.6975,5.6558,0
11041.5632,11370.3433,61.0538,-2.7003,8.4241,0
11040.6391,11369.9069,61.0400,-2.7030,10.4586,0
11039.7263,11369.4788,61.0376,-2.7046,12.2114,0
11038.8143,11369.0508,61.0358,-2.7061,13.6040,0
11037.8848,11368.6137,61.0340,-2.7056,14.7885,0
11036.9530,11368.1829,61.0135,-2.7059,15.9259,0
11036.0420,11367.7568,61.0173,-2.7072,16.9269,0
11035.1226,11367.3229,61.0251,-2.7082,17.8760,0
11034.1977,11366.8949,61.0226,-2.7077,18.8044,0
11033.2773,11366.4679,61.0146,-2.7078,19.5517,0
11032.3717,11366.0427,61.0122,-2.7081,20.3505,0
11031.4285,11365.6038,61.0088,-2.7073,21.1700,0
11030.5048,11365.1746,60.9974,-2.7069,21.9079,0
11029.5525,11364.7299,61.0015,-2.7067,22.6224,0
11028.6298,11364.2969,60.9995,-2.7062,23.2533,0
11027.6811,11363.8524,60.9840,-2.7052,23.8744,0
11026.7681,11363.4271,60.9788,-2.7047,24.4042,0
11025.8366,11362.9870,60.9889,-2.7050,25.0049,0
11024.8842,11362.5376,60.9911,-2.7042,25.5224,0
11023.9766,11362.1104,60.9760,-2.7035,26.0158,0
11023.0551,11361.6748,60.9675,-2.7032,26.3782,0
11022.1217,11361.2331,60.9747,-2.7028,26.6942,0
11021.1791,11360.7848,60.9820,-2.7025,26.9890,0
11020.2257,11360.3325,60.9752,-2.7019,27.2922,0
11019.2616,11359.8768,60.9653,-2.7015,27.5472,0
11018.2891,11359.4140,60.9666,-2.7018,27.8389,0
11017.3758,11358.9815,60.9617,-2.7015,28.1236,0
11016.4542,11358.5450,60.9514,-2.7017,28.3522,0
11015.5239,11358.1061,60.9483,-2.7017,28.6066,0
11014.5861,11357.6623,60.9511,-2.7022,28.8474,0
11013.6399,11357.2151,60.9494,-2.7024,29.0711,0
11012.6867,11356.7650,60.9405,-2.7026,29.2785,0
11011.7269,11356.3124,60.9266,-2.7024,29.4655,0
11010.7620,11355.8576,60.9095,-2.7020,29.6010,0
11009.7939,11355.3982,60.9048,-2.7018,29.7484,0
11008.8209,11354.9380,60.9028,-2.7015,29.8692,0
11007.8460,11354.4756,60.9017,-2.7016,29.9253,0
11006.8689,11354.0113,60.8950,-2.7017,30.0131,0
11005.9643,11353.5826,60.8852,-2.7011,30.0692,0
11005.0580,11353.1534,60.8771,-2.7005,30.0954,0
11004.1506,11352.7228,60.8746,-2.7004,30.1636,0
11003.2427,11352.2897,60.8748,-2.7007,30.2294,0
11002.3327,11351.8578,60.8736,-2.7004,30.2627,0
11001.4213,11351.4253,60.8724,-2.7003,30.3028,0
11000.5086,11350.9924,60.8696,-2.7003,30.3509,0
10999.5951,11350.5588,60.8654,-2.7004,30.3802,0
10998.6806,11350.1254,60.8571,-2.7007,30.4008,0
