AID,SLID,ELID
1,91,94
2,95,98
3,99,102
4,103,106
5,107,110
6,111,114
7,115,118
8,119,122
9,123,126
10,127,130
11,131,134
12,135,138
13,139,142
14,143,146
15,147,150
16,151,154
17,155,158
18,159,162
19,163,166
20,167,170
21,171,174
22,175,178
23,179,182
24,183,186
25,187,190
26,191,194
27,195,198
28,199,202
29,203,206
30,207,210
31,211,214
32,215,218
33,219,222
34,223,226
35,227,230
36,231,234
37,235,238
38,239,242
39,243,246
40,247,250
41,251,254
42,255,258
43,259,262
44,263,266
45,267,270
46,271,274
47,275,278
48,279,282
49,283,286
50,287,290
51,291,294
52,295,298
53,299,302
54,303,306
55,307,310
56,311,314
57,315,318
58,319,322
59,323,326
60,327,330
61,331,334
62,335,338
63,339,342
64,343,346
65,347,350
66,351,354
67,355,358
68,359,362
69,363,366
70,367,370
71,371,374
72,375,378
73,379,382
74,383,386
75,387,390
76,391,394
77,395,398
78,399,402
79,403,406
80,407,410
