ID,LID,Height,Width,DIR,LinkID
1,411,0.20,0.00,0,0
2,412,0.20,0.00,0,0
3,413,0.20,0.00,0,0
4,414,0.20,0.00,0,0
5,415,0.20,0.00,0,0
6,416,0.20,0.00,0,0
7,417,0.20,0.00,0,0
8,418,0.20,0.00,0,0
9,419,0.20,0.00,0,0
10,420,0.20,0.00,0,0
11,421,0.20,0.00,0,0
12,422,0.20,0.00,0,0
13,423,0.20,0.00,0,0
14,424,0.20,0.00,0,0
15,425,0.20,0.00,0,0
16,426,0.20,0.00,0,0
17,427,0.20,0.00,0,0
18,428,0.20,0.00,0,0
19,429,0.20,0.00,0,0
20,430,0.20,0.00,0,0
21,431,0.20,0.00,0,0
22,432,0.20,0.00,0,0
23,433,0.20,0.00,0,0
24,434,0.20,0.00,0,0
25,435,0.20,0.00,0,0
26,436,0.20,0.00,0,0
27,437,0.20,0.00,0,0
28,438,0.20,0.00,0,0
29,439,0.20,0.00,0,0
30,440,0.20,0.00,0,0
31,441,0.20,0.00,0,0
32,442,0.20,0.00,0,0
33,443,0.20,0.00,0,0
34,444,0.20,0.00,0,0
35,445,0.20,0.00,0,0
36,446,0.20,0.00,0,0
37,447,0.20,0.00,0,0
38,448,0.20,0.00,0,0
39,449,0.20,0.00,0,0
40,450,0.20,0.00,0,0
41,451,0.20,0.00,0,0
42,452,0.20,0.00,0,0
43,453,0.20,0.00,0,0
44,454,0.20,0.00,0,0
45,455,0.20,0.00,0,0
46,456,0.20,0.00,0,0
47,457,0.20,0.00,0,0
48,458,0.20,0.00,0,0
49,459,0.20,0.00,0,0
50,460,0.20,0.00,0,0
51,461,0.20,0.00,0,0
52,462,0.20,0.00,0,0
53,463,0.20,0.00,0,0
54,464,0.20,0.00,0,0
55,465,0.20,0.00,0,0
56,466,0.20,0.00,0,0
57,467,0.20,0.00,0,0
58,468,0.20,0.00,0,0
59,469,0.20,0.00,0,0
60,470,0.20,0.00,0,0
61,471,0.20,0.00,0,0
62,472,0.20,0.00,0,0
63,473,0.20,0.00,0,0
64,474,0.20,0.00,0,0
65,475,0.20,0.00,0,0
66,476,0.20,0.00,0,0
67,477,0.20,0.00,0,0
68,478,0.20,0.00,0,0
69,479,0.20,0.00,0,0
70,480,0.20,0.00,0,0
71,481,0.20,0.00,0,0
72,482,0.20,0.00,0,0
73,483,0.20,0.00,0,0
74,484,0.20,0.00,0,0
75,485,0.20,0.00,0,0
76,486,0.20,0.00,0,0
77,487,0.20,0.00,0,0
78,488,0.20,0.00,0,0
79,489,0.20,0.00,0,0
80,490,0.20,0.00,0,0
81,491,0.20,0.00,0,0
82,492,0.20,0.00,0,0
83,493,0.20,0.00,0,0
84,494,0.20,0.00,0,0
85,495,0.20,0.00,0,0
86,496,0.20,0.00,0,0
87,497,0.20,0.00,0,0
88,498,0.20,0.00,0,0
89,499,0.20,0.00,0,0
90,500,0.20,0.00,0,0
91,501,0.20,0.00,0,0
92,502,0.20,0.00,0,0
93,503,0.20,0.00,0,0
94,504,0.20,0.00,0,0
95,505,0.20,0.00,0,0
96,506,0.20,0.00,0,0
97,507,0.20,0.00,0,0
98,508,0.20,0.00,0,0
99,509,0.20,0.00,0,0
100,510,0.20,0.00,0,0
101,511,0.20,0.00,0,0
102,512,0.20,0.00,0,0
103,513,0.20,0.00,0,0
104,514,0.20,0.00,0,0
105,515,0.20,0.00,0,0
106,516,0.20,0.00,0,0
107,517,0.20,0.00,0,0
108,518,0.20,0.00,0,0
109,519,0.20,0.00,0,0
110,520,0.20,0.00,0,0
111,521,0.20,0.00,0,0
112,522,0.20,0.00,0,0
113,523,0.20,0.00,0,0
114,524,0.20,0.00,0,0
115,525,0.20,0.00,0,0
116,526,0.20,0.00,0,0
117,527,0.20,0.00,0,0
118,528,0.20,0.00,0,0
119,529,0.20,0.00,0,0
120,530,0.20,0.00,0,0
121,531,0.20,0.00,0,0
122,532,0.20,0.00,0,0
123,533,0.20,0.00,0,0
124,534,0.20,0.00,0,0
125,535,0.20,0.00,0,0
126,536,0.20,0.00,0,0
127,537,0.20,0.00,0,0
128,538,0.20,0.00,0,0
129,539,0.20,0.00,0,0
130,540,0.20,0.00,0,0
131,541,0.20,0.00,0,0
132,542,0.20,0.00,0,0
133,543,0.20,0.00,0,0
134,544,0.20,0.00,0,0
135,545,0.20,0.00,0,0
136,546,0.20,0.00,0,0
137,547,0.20,0.00,0,0
138,548,0.20,0.00,0,0
139,549,0.20,0.00,0,0
140,550,0.20,0.00,0,0
141,551,0.20,0.00,0,0
142,552,0.20,0.00,0,0
143,553,0.20,0.00,0,0
144,554,0.20,0.00,0,0
145,555,0.20,0.00,0,0
146,556,0.20,0.00,0,0
147,557,0.20,0.00,0,0
148,558,0.20,0.00,0,0
149,559,0.20,0.00,0,0
150,560,0.20,0.00,0,0
