VID,PID,Hang,Vang
1,44713,225.0,0.0
2,44714,225.0,0.0
3,44715,40.0,0.0
4,44716,120.0,0.0
5,44717,120.0,0.0
6,44718,120.0,0.0
7,44719,305.0,0.0
8,44720,295.0,0.0
9,44721,25.0,0.0
10,44722,25.0,0.0
11,44723,90.0,0.0
12,44724,225.0,0.0
13,44725,95.0,0.0
14,44726,95.0,0.0
15,44727,270.0,0.0
16,44728,210.0,0.0
17,44729,95.0,0.0
18,44730,30.0,0.0
19,44731,280.0,0.0
20,44732,210.0,0.0
21,44733,210.0,0.0
22,44734,210.0,0.0
23,44735,40.0,0.0
24,44736,210.0,0.0
25,44737,165.0,0.0
26,44738,235.0,0.0
27,44739,55.0,0.0
28,44740,210.0,0.0
29,44741,210.0,0.0
30,44742,70.0,0.0
31,44743,95.0,0.0
32,44744,25.0,0.0
33,44745,25.0,0.0
34,44746,215.0,0.0
35,44747,290.0,0.0
36,44748,210.0,0.0
37,44749,295.0,0.0
38,44750,105.0,0.0
39,44751,105.0,0.0
40,44752,285.0,0.0
41,44753,285.0,0.0
42,44754,275.0,0.0
43,44755,295.0,0.0
44,44756,235.0,0.0
45,44757,120.0,0.0
46,44758,300.0,0.0
47,44759,110.0,0.0
48,44760,110.0,0.0
49,44761,295.0,0.0
50,44762,295.0,0.0
51,44763,90.0,0.0
52,44764,85.0,0.0
53,44765,85.0,0.0
54,44766,110.0,0.0
55,44767,280.0,0.0
56,44768,215.0,0.0
57,44769,40.0,0.0
58,44770,282.0,0.0
59,44771,275.0,0.0
60,44772,30.0,0.0
61,44773,210.0,0.0
62,44774,220.0,0.0
63,44775,30.0,0.0
64,44776,30.0,0.0
65,44777,40.0,0.0
66,44778,225.0,0.0
67,44779,225.0,0.0
68,44780,225.0,0.0
69,44781,225.0,0.0
70,44782,335.0,0.0
71,44783,300.0,0.0
72,44784,300.0,0.0
73,44785,300.0,0.0
74,44786,122.0,0.0
75,44787,122.0,0.0
76,44788,122.0,0.0
77,44789,122.0,0.0
78,44790,130.0,0.0
79,44791,73.0,0.0
80,44792,80.0,0.0
81,44793,90.0,0.0
82,44794,275.0,0.0
83,44795,270.0,0.0
84,44796,275.0,0.0
85,44797,210.0,0.0
86,44798,30.0,0.0
87,44799,210.0,0.0
88,44800,210.0,0.0
89,44801,210.0,0.0
90,44802,15.0,0.0
91,44803,30.0,0.0
92,44804,210.0,0.0
