DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,1.146,15718,0,0,0,0,0,1.20,1.20
2,1.146,18675,0,0,0,0,0,1.20,1.20
3,1.146,41141,0,0,0,0,0,1.20,1.20
4,1.146,8803,0,0,0,0,0,1.20,1.20
5,1.146,11915,0,0,0,0,0,1.20,1.20
6,1.146,30659,0,0,0,0,0,1.20,1.20
7,1.175,18060,0,0,0,0,0,1.20,1.20
8,1.175,16848,0,0,0,0,0,1.20,1.20
9,1.175,13214,0,0,0,0,0,1.20,1.20
10,1.175,12467,0,0,0,0,0,1.20,1.20
11,1.118,25751,0,0,0,0,0,1.20,1.20
12,1.118,42705,0,0,0,0,0,1.20,1.20
13,1.118,13746,0,0,0,0,0,1.20,1.20
14,1.118,36157,0,0,0,0,0,1.20,1.20
15,1.118,11226,0,0,0,0,0,1.20,1.20
16,1.118,42437,0,0,0,0,0,1.20,1.20
17,1.118,29204,0,0,0,0,0,1.20,1.20
18,1.118,38098,0,0,0,0,0,1.20,1.20
19,1.118,27142,0,0,0,0,0,1.20,1.20
20,1.118,9842,0,0,0,0,0,1.20,1.20
21,0.980,34479,0,0,0,0,0,1.20,1.20
22,0.980,39012,0,0,0,0,0,1.20,1.20
23,0.980,37528,0,0,0,0,0,1.20,1.20
24,0.980,5091,0,0,0,0,0,1.20,1.20
25,0.980,1464,0,0,0,0,0,1.20,1.20
26,1.005,24043,0,0,0,0,0,1.20,1.20
27,1.005,26532,0,0,0,0,0,1.20,1.20
28,1.005,36780,0,0,0,0,0,1.20,1.20
29,1.005,44263,0,0,0,0,0,1.20,1.20
30,1.005,1109,0,0,0,0,0,1.20,1.20
31,1.003,29107,0,0,0,0,0,1.20,1.20
32,1.003,31654,0,0,0,0,0,1.20,1.20
33,1.003,5846,0,0,0,0,0,1.20,1.20
34,1.003,38727,0,0,0,0,0,1.20,1.20
35,1.198,31276,0,0,0,0,0,1.20,1.20
36,1.198,23205,0,0,0,0,0,1.20,1.20
37,1.198,20090,0,0,0,0,0,1.20,1.20
38,1.198,10909,0,0,0,0,0,1.20,1.20
39,1.198,37452,0,0,0,0,0,1.20,1.20
40,1.198,24349,0,0,0,0,0,1.20,1.20
41,1.198,8821,0,0,0,0,0,1.20,1.20
42,1.198,35115,0,0,0,0,0,1.20,1.20
43,1.198,10289,0,0,0,0,0,1.20,1.20
44,1.198,1103,0,0,0,0,0,1.20,1.20
45,1.198,27105,0,0,0,0,0,1.20,1.20
46,1.198,31648,0,0,0,0,0,1.20,1.20
47,1.198,9522,0,0,0,0,0,1.20,1.20
48,1.198,21802,0,0,0,0,0,1.20,1.20
49,1.198,40475,0,0,0,0,0,1.20,1.20
50,1.198,16841,0,0,0,0,0,1.20,1.20
51,1.198,43204,0,0,0,0,0,1.20,1.20
52,1.198,18284,0,0,0,0,0,1.20,1.20
53,1.198,20776,0,0,0,0,0,1.20,1.20
54,1.198,17548,0,0,0,0,0,1.20,1.20
55,1.198,9179,0,0,0,0,0,1.20,1.20
56,1.198,6942,0,0,0,0,0,1.20,1.20
57,1.198,28359,0,0,0,0,0,1.20,1.20
58,1.198,37353,0,0,0,0,0,1.20,1.20
59,1.198,276,0,0,0,0,0,1.20,1.20
60,1.187,5782,0,0,0,0,0,1.20,1.20
61,1.187,37887,0,0,0,0,0,1.20,1.20
62,1.187,22099,0,0,0,0,0,1.20,1.20
63,1.187,25222,0,0,0,0,0,1.20,1.20
64,1.187,20219,0,0,0,0,0,1.20,1.20
65,1.187,1157,0,0,0,0,0,1.20,1.20
66,1.187,4823,0,0,0,0,0,1.20,1.20
67,1.187,2838,0,0,0,0,0,1.20,1.20
68,1.187,978,0,0,0,0,0,1.20,1.20
69,1.187,29553,0,0,0,0,0,1.20,1.20
70,1.187,41708,0,0,0,0,0,1.20,1.20
71,1.187,28631,0,0,0,0,0,1.20,1.20
72,1.187,40171,0,0,0,0,0,1.20,1.20
73,1.187,36002,0,0,0,0,0,1.20,1.20
74,1.187,22625,0,0,0,0,0,1.20,1.20
75,1.187,21674,0,0,0,0,0,1.20,1.20
76,1.187,2404,0,0,0,0,0,1.20,1.20
77,1.187,13070,0,0,0,0,0,1.20,1.20
78,1.187,31981,0,0,0,0,0,1.20,1.20
79,1.187,14310,0,0,0,0,0,1.20,1.20
80,1.187,19815,0,0,0,0,0,1.20,1.20
