PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
2027,0.0,0.0,47.0225,10811.15,11660.587,0,0,0,0
31492,0.0,0.0,50.669373,9491.54,11245.594,0,0,0,0
38969,0.0,0.0,33.564373,11973.563,11678.972,0,0,0,0
1,0.0,0.0,50.611874,11388.368,10565.874,0,0,0,0
2,0.0,0.0,34.5475,11339.149,11022.209,0,0,0,0
3,0.0,0.0,37.791874,10833.545,11438.032,0,0,0,0
45286,0.0,0.0,54.01375,9657.933,11533.418,0,0,0,0
45292,0.0,0.0,52.5725,11354.079,9671.963,0,0,0,0
45294,0.0,0.0,59.431873,11491.016,8873.88,0,0,0,0
45295,0.0,0.0,59.54687,11613.571,8279.786,0,0,0,0
45298,0.0,0.0,59.398125,11493.743,8874.713,0,0,0,0
45299,0.0,0.0,59.26375,11500.026,8842.091,0,0,0,0
45307,0.0,0.0,59.73,12374.774,9136.035,0,0,0,0
45308,0.0,0.0,59.121872,12290.6455,9221.757,0,0,0,0
45309,0.0,0.0,59.35125,12320.426,9191.557,0,0,0,0
45315,0.0,0.0,34.160625,11362.758,11085.454,0,0,0,0
45319,0.0,0.0,34.474373,11602.332,11308.829,0,0,0,0
45323,0.0,0.0,34.746872,11817.154,11757.167,0,0,0,0
45326,0.0,0.0,33.815624,11482.277,11230.585,0,0,0,0
45328,0.0,0.0,34.604374,11602.418,11322.24,0,0,0,0
45337,0.0,0.0,34.78125,11824.576,11732.9795,0,0,0,0
45341,0.0,0.0,36.08875,11697.834,11709.1875,0,0,0,0
45345,0.0,0.0,47.808125,11282.702,10562.069,0,0,0,0
45351,0.0,0.0,49.331875,11299.283,10540.073,0,0,0,0
45356,0.0,0.0,53.184998,11320.322,10226.042,0,0,0,0
45360,0.0,0.0,35.399376,11489.889,11555.052,0,0,0,0
45361,0.0,0.0,43.849373,10825.287,11567.309,0,0,0,0
45362,0.0,0.0,35.165,11807.898,11713.9375,0,0,0,0
45368,0.0,0.0,35.53125,11218.439,11167.032,0,0,0,0
45369,0.0,0.0,34.2225,11902.414,11793.573,0,0,0,0
45370,0.0,0.0,53.774998,9691.647,11512.461,0,0,0,0
45372,0.0,0.0,33.90875,11060.11,11069.221,0,0,0,0
45373,0.0,0.0,34.07,11926.948,11765.005,0,0,0,0
45374,0.0,0.0,34.76,12015.873,11837.804,0,0,0,0
45375,0.0,0.0,53.516872,9674.616,11489.946,0,0,0,0
45378,0.0,0.0,52.598125,11327.187,10331.971,0,0,0,0
45379,0.0,0.0,52.51,11374.961,9655.965,0,0,0,0
45382,0.0,0.0,52.499374,11357.276,9672.169,0,0,0,0
45384,0.0,0.0,59.398125,11493.743,8874.713,0,0,0,0
45385,0.0,0.0,59.665623,11609.859,8285.555,0,0,0,0
45388,0.0,0.0,59.299374,11496.854,8875.786,0,0,0,0
45398,0.0,0.0,59.055622,12295.401,9226.571,0,0,0,0
45399,0.0,0.0,59.26125,12325.246,9196.269,0,0,0,0
45400,0.0,0.0,59.457497,12355.022,9166.036,0,0,0,0
45233,0.0,0.0,34.773125,11814.647,11753.697,0,0,0,0
45234,0.0,0.0,34.798748,11828.421,11744.959,0,0,0,0
45235,0.0,0.0,34.2225,11902.414,11793.573,0,0,0,0
45236,0.0,0.0,34.013123,11486.913,11225.962,0,0,0,0
45237,0.0,0.0,34.51625,11575.078,11315.654,0,0,0,0
45238,0.0,0.0,34.641872,11600.645,11324.826,0,0,0,0
45239,0.0,0.0,34.5775,11606.374,11324.873,0,0,0,0
45240,0.0,0.0,34.541874,11630.356,11366.364,0,0,0,0
45241,0.0,0.0,34.337498,11665.907,11368.635,0,0,0,0
22348,0.0,0.0,54.3825,9868.245,11565.707,0,0,0,0
45242,0.0,0.0,34.995,11799.557,11713.508,0,0,0,0
45243,0.0,0.0,33.43,12120.571,11652.829,0,0,0,0
45244,0.0,0.0,35.13125,11806.348,11717.148,0,0,0,0
45245,0.0,0.0,35.051876,11783.203,11724.897,0,0,0,0
23600,0.0,0.0,50.46375,9158.935,11044.46,0,0,0,0
45246,0.0,0.0,35.07,11775.327,11718.796,0,0,0,0
45247,0.0,0.0,34.85625,11821.89,11738.572,0,0,0,0
45248,0.0,0.0,35.295624,11196.74,11154.547,0,0,0,0
